"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","241","10.8 %","21.2 %","0.51",".332",".402",".583",".985",".251","4.4",".384","-0.1","-0.3","0.0","48","18.0",".406","160"
"Rays","262","12.2 %","21.8 %","0.56",".320",".406",".569",".975",".249","6.2",".380","0.2","0.1","0.6","52","19.1",".404","160"
"Athletics","244","4.9 %","17.6 %","0.28",".314",".357",".619",".976",".305","3.7",".313","0.2","-0.3","-1.0","47","16.7",".399","155"
"Reds","180","10.0 %","23.9 %","0.42",".266",".352",".576",".928",".310","5.5",".284","-0.3","-0.3","-0.6","32","9.2",".379","130"
"Mets","252","14.7 %","22.2 %","0.66",".267",".390",".471",".860",".204","4.7",".324","-0.5","-0.1","0.6","42","10.3",".367","130"
"Yankees","224","10.3 %","21.0 %","0.49",".268",".345",".515",".861",".247","3.2",".283","0.0","0.1","0.1","35","7.1",".357","123"
"Mariners","288","5.9 %","24.7 %","0.24",".297",".339",".521",".860",".224","7.4",".352","-0.3","0.3","1.0","45","9.0",".356","127"
"Nationals","247","10.5 %","19.4 %","0.54",".274",".354",".498",".851",".223","4.7",".302","0.1","-0.1","0.1","39","7.5",".355","116"
"Twins","149","6.7 %","20.8 %","0.32",".279",".327",".522",".849",".243","5.4",".306","-0.2","0.1","-0.7","23","4.0",".351","116"
"Braves","231","9.5 %","22.5 %","0.42",".279",".349",".480",".830",".201","4.8",".331","0.2","0.1","0.1","35","5.5",".347","113"
"Dodgers","271","10.0 %","19.9 %","0.50",".254",".341",".461",".802",".207","3.9",".282","0.1","0.2","0.3","38","3.8",".336","114"
"Cardinals","216","7.9 %","21.8 %","0.36",".263",".336",".437",".773",".174","6.7",".321","0.1","0.1","0.5","29","1.3",".327","102"
"Royals","270","8.1 %","21.5 %","0.38",".263",".331",".446",".777",".183","6.4",".315","-0.3","0.2","0.1","35","1.2",".325","101"
"Brewers","234","7.7 %","22.6 %","0.34",".261",".335",".420",".755",".159","2.8",".306","0.1","-0.2","-0.2","30","0.4",".322","95"
"Angels","218","11.9 %","16.5 %","0.72",".237",".336",".392",".729",".156","3.6",".250","-0.2","-0.5","-0.2","26","-1.6",".311","97"
"Phillies","228","11.0 %","22.8 %","0.48",".229",".320",".393",".713",".164","3.1",".275","0.2","0.2","-0.4","26","-2.9",".305","86"
"Red Sox","185","10.3 %","19.5 %","0.53",".233",".315",".405",".720",".172","3.1",".262","0.2","-0.2","-0.6","21","-2.5",".304","85"
"Pirates","224","5.8 %","26.3 %","0.22",".248",".302",".417",".719",".170","5.1",".314","0.3","-0.1","-0.6","24","-3.9",".300","86"
"Rangers","151","7.3 %","29.8 %","0.24",".237",".304",".385",".689",".148","3.7",".326","0.2","0.1","-0.3","16","-3.0",".297","73"
"Padres","246","5.7 %","28.0 %","0.20",".219",".276",".433",".709",".214","3.3",".262","-0.1","-0.2","-1.2","26","-4.9",".297","83"
"Cubs","223","9.4 %","27.4 %","0.34",".221",".297",".377",".674",".156","3.9",".280","0.0","-0.2","0.3","22","-6.1",".288","75"
"Orioles","265","9.4 %","18.1 %","0.52",".220",".297",".373",".669",".153","5.0",".247","0.1","-0.2","-0.8","26","-7.3",".288","75"
"Blue Jays","178","9.0 %","33.7 %","0.27",".222",".299",".354",".654",".133","4.9",".326","-0.2","0.1","0.5","17","-5.8",".282","72"
"White Sox","211","6.2 %","30.8 %","0.20",".227",".275",".384",".659",".157","4.4",".302","0.1","-0.1","0.9","19","-7.3",".280","74"
"Indians","214","11.2 %","25.2 %","0.44",".193",".290",".353",".643",".160","3.0",".234","0.1","0.0","-0.2","19","-8.1",".276","67"
"Tigers","177","5.1 %","24.9 %","0.20",".229",".271",".355",".627",".127","4.3",".292","-0.7","0.2","0.3","14","-8.0",".267","62"
"Marlins","206","6.8 %","27.2 %","0.25",".222",".277",".339",".615",".116","1.9",".285","-0.3","-0.4","-1.0","16","-9.7",".265","64"
"Diamondbacks","220","7.7 %","25.5 %","0.30",".199",".283",".316",".599",".117","2.1",".257","0.3","0.0","-0.3","17","-10.4",".265","59"
"Giants","272","8.1 %","26.8 %","0.30",".202",".267",".322",".589",".120","3.4",".265","-0.1","0.1","-0.8","18","-16.6",".249","52"
"Rockies","244","6.1 %","27.0 %","0.23",".198",".252",".306",".558",".108","5.1",".263","0.3","0.0","-0.1","14","-17.0",".239","29"
