"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","268","8.2 %","17.5 %","0.47",".286",".347",".600",".947",".314","2.8",".285","-0.3","0.1","0.1","50","15.8",".388","144"
"Cardinals","248","11.7 %","19.0 %","0.62",".304",".388",".547",".934",".243","2.7",".335","0.2","0.0","-0.6","46","14.6",".388","141"
"Rays","234","10.7 %","25.2 %","0.42",".268",".355",".522",".877",".254","5.7",".328","0.1","0.1","-1.5","38","8.8",".364","132"
"Rangers","223","10.8 %","19.7 %","0.55",".262",".351",".497",".849",".236","8.1",".296","0.3","0.1","0.6","35","7.1",".357","116"
"White Sox","240","10.8 %","22.5 %","0.48",".271",".358",".476",".835",".205","4.4",".315","0.3","0.0","0.6","37","7.0",".354","123"
"Diamondbacks","245","8.6 %","25.7 %","0.33",".282",".358",".472",".830",".190","3.9",".359","0.4","0.0","0.4","37","6.0",".348","116"
"Angels","238","9.7 %","14.7 %","0.66",".284",".357",".466",".823",".183","3.6",".306","-0.1","-0.4","0.1","36","5.7",".347","119"
"Rockies","239","7.5 %","25.9 %","0.29",".270",".325",".512",".837",".242","5.8",".324","0.1","0.2","-1.5","35","4.9",".344","97"
"Nationals","226","9.7 %","27.4 %","0.35",".271",".353",".447",".800",".176","3.1",".362","0.1","0.0","-0.2","33","4.1",".341","105"
"Phillies","318","8.8 %","21.7 %","0.41",".275",".344",".451",".795",".176","3.7",".325","0.2","0.3","0.0","44","4.2",".335","106"
"Astros","196","10.2 %","20.9 %","0.49",".246",".337",".444",".781",".199","3.9",".276","-0.2","-0.2","0.5","27","2.2",".333","110"
"Blue Jays","270","7.4 %","24.4 %","0.30",".273",".331",".453",".784",".180","2.9",".333","-0.1","-0.1","-0.6","37","2.6",".331","106"
"Braves","236","11.4 %","28.8 %","0.40",".241",".338",".443",".781",".202","4.9",".315","0.2","0.2","-0.4","32","2.3",".331","104"
"Brewers","252","8.7 %","29.8 %","0.29",".246",".313",".478",".792",".232","2.0",".300","0.1","-0.1","-0.3","34","1.8",".328","102"
"Yankees","215","8.8 %","20.5 %","0.43",".241",".313",".455",".769",".215","3.9",".259","0.0","-0.1","0.3","28","0.5",".323","101"
"Orioles","270","7.4 %","20.4 %","0.36",".258",".315",".448",".762",".190","4.3",".293","0.1","-0.2","0.4","34","0.0",".320","97"
"Mariners","269","12.3 %","27.9 %","0.44",".209",".309",".443",".751",".234","2.3",".234","-0.3","0.3","-0.8","34","-0.4",".318","101"
"Royals","267","13.5 %","23.6 %","0.57",".225",".330",".419",".748",".194","4.4",".256","-0.5","0.1","-0.3","33","-0.6",".317","96"
"Indians","234","10.7 %","23.1 %","0.46",".261",".356",".360",".716",".099","4.8",".338","0.3","0.1","0.6","28","-1.1",".314","92"
"Cubs","192","12.0 %","18.8 %","0.64",".230",".349",".360",".709",".130","2.9",".276","0.1","-0.1","-0.1","23","-1.5",".311","90"
"Tigers","194","5.2 %","22.7 %","0.23",".259",".320",".414",".733",".155","4.3",".318","-0.6","0.1","0.5","23","-1.6",".310","91"
"Mets","241","8.3 %","19.5 %","0.43",".257",".328",".393",".720",".136","3.4",".302","-0.4","-0.2","-0.2","28","-2.2",".309","93"
"Dodgers","253","12.6 %","22.5 %","0.56",".217",".319",".373",".692",".157","3.7",".255","0.1","0.1","-0.2","27","-5.1",".297","84"
"Red Sox","209","6.2 %","24.9 %","0.25",".211",".273",".374",".646",".163","2.7",".248","0.1","-0.3","0.1","18","-8.4",".274","64"
"Padres","211","7.1 %","29.9 %","0.24",".191",".256",".340",".596",".149","3.8",".242","-0.1","-0.5","0.1","15","-11.5",".257","58"
"Giants","198","6.1 %","25.8 %","0.24",".202",".263",".333",".596",".131","3.8",".252","-0.2","0.1","0.3","14","-11.0",".256","58"
"Pirates","169","7.1 %","26.0 %","0.27",".211",".271",".329",".600",".118","2.9",".267","0.3","-0.1","-0.3","12","-9.5",".255","55"
"Athletics","172","7.6 %","20.3 %","0.37",".195",".267",".299",".566",".104","2.5",".229","0.2","-0.2","0.1","11","-10.5",".249","54"
"Marlins","231","8.2 %","29.9 %","0.28",".192",".268",".269",".538",".077","3.6",".270","-0.3","-0.3","0.7","13","-15.7",".241","49"
"Reds","244","4.9 %","24.2 %","0.20",".175",".221",".329",".550",".154","2.7",".191","-0.4","-0.3","-1.0","12","-18.3",".233","37"
