"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","264","9.8 %","18.2 %","0.54",".325",".398",".662","1.060",".338","4.0",".331","-0.3","0.3","-0.2","59","25.3",".431","172"
"Yankees","250","11.6 %","21.2 %","0.55",".282",".364",".545",".909",".264","5.0",".303","-0.4","0.1","0.3","44","12.3",".377","137"
"Rockies","240","7.1 %","22.9 %","0.31",".307",".363",".532",".895",".225","4.2",".368","0.2","0.0","-1.0","41","11.2",".374","117"
"Athletics","237","7.6 %","21.1 %","0.36",".280",".350",".545",".895",".265","5.0",".307","0.3","-0.3","0.2","40","10.1",".369","136"
"Red Sox","289","9.3 %","18.0 %","0.52",".275",".349",".508",".857",".233","3.3",".288","-0.1","-0.1","0.2","46","9.8",".359","121"
"Nationals","267","9.7 %","21.7 %","0.45",".275",".352",".492",".844",".216","4.3",".323","0.0","-0.1","-0.2","41","7.4",".352","113"
"Rangers","220","7.7 %","20.5 %","0.38",".268",".332",".505",".837",".237","3.4",".297","0.0","0.3","0.3","33","5.1",".347","108"
"Cubs","275","11.6 %","18.9 %","0.62",".262",".356",".451",".806",".189","3.6",".295","0.1","-0.1","-0.4","40","5.3",".342","109"
"Pirates","229","6.6 %","17.5 %","0.38",".269",".330",".481",".811",".212","4.2",".291","-0.1","0.0","0.5","33","3.9",".340","111"
"Phillies","279","10.0 %","21.1 %","0.47",".266",".338",".444",".782",".177","4.9",".317","0.3","0.3","0.9","37","2.2",".329","101"
"Rays","233","6.0 %","27.9 %","0.22",".248",".309",".472",".781",".224","2.7",".299","0.1","0.2","-0.1","31","1.6",".328","107"
"Cardinals","197","10.2 %","22.3 %","0.45",".235",".328",".429",".758",".194","5.9",".275","0.0","0.0","0.7","25","0.6",".324","99"
"Astros","256","11.3 %","16.4 %","0.69",".245",".337",".403",".740",".157","2.9",".266","-0.3","0.0","-0.4","32","-0.5",".317","100"
"Marlins","234","7.3 %","20.1 %","0.36",".256",".321",".441",".761",".185","3.2",".282","-0.5","-0.4","-0.2","29","-0.5",".317","98"
"Reds","190","7.9 %","24.7 %","0.32",".247",".323",".406",".729",".159","4.3",".302","-0.3","-0.1","-0.6","23","-1.0",".314","89"
"Brewers","194","7.7 %","25.8 %","0.30",".246",".314",".429",".743",".183","3.1",".297","-0.1","0.0","-0.6","23","-1.4",".312","90"
"Indians","260","13.8 %","17.3 %","0.80",".216",".324",".396",".721",".180","3.0",".231","0.4","0.2","-0.2","31","-1.8",".312","89"
"Dodgers","202","11.9 %","20.8 %","0.57",".240",".337",".389",".725",".149","5.1",".287","0.1","0.1","0.5","24","-1.5",".311","95"
"Mariners","228","6.6 %","29.4 %","0.22",".270",".316",".408",".723",".137","2.2",".364","0.0","0.3","-0.4","26","-2.4",".308","94"
"Braves","280","7.5 %","23.6 %","0.32",".234",".293",".430",".723",".195","2.2",".254","0.1","0.2","-0.6","31","-3.8",".304","85"
"Orioles","260","6.9 %","26.5 %","0.26",".221",".290",".421",".711",".200","4.4",".268","0.0","-0.1","-0.1","28","-4.4",".300","84"
"Angels","227","10.6 %","19.8 %","0.53",".216",".308",".377",".685",".161","2.2",".238","0.0","-0.2","0.1","24","-4.5",".297","85"
"Royals","154","9.7 %","21.4 %","0.45",".246",".327",".358",".685",".112","4.1",".307","-0.1","0.0","-0.3","16","-3.1",".296","80"
"Mets","242","8.7 %","25.2 %","0.34",".206",".289",".416",".705",".210","2.8",".229","-0.3","-0.2","-0.3","25","-5.5",".294","84"
"Diamondbacks","233","6.4 %","25.8 %","0.25",".221",".296",".370",".666",".149","2.1",".271","0.4","-0.1","-0.1","23","-6.3",".289","76"
"Padres","208","9.1 %","26.4 %","0.35",".227",".301",".368",".669",".141","2.4",".288","-0.3","-0.2","-1.6","20","-5.9",".287","76"
"White Sox","237","4.2 %","28.3 %","0.15",".231",".280",".367",".646",".136","4.2",".299","0.4","0.1","-0.4","21","-8.7",".277","73"
"Blue Jays","246","5.7 %","24.4 %","0.23",".192",".248",".397",".645",".205","1.6",".199","-0.3","0.0","-0.1","20","-10.7",".270","67"
"Tigers","226","5.8 %","25.7 %","0.22",".242",".283",".362",".646",".121","3.3",".307","-0.4","0.1","-0.3","18","-10.1",".268","64"
"Giants","270","8.5 %","27.4 %","0.31",".194",".268",".326",".594",".132","4.6",".245","-0.1","0.1","0.0","20","-14.4",".258","59"
