"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Pirates","252","4.4 %","15.1 %","0.29",".358",".391",".595",".986",".237","3.4",".383","-0.2","0.0","-0.8","51","19.3",".409","155"
"Twins","297","7.7 %","23.9 %","0.32",".321",".380",".534",".914",".213","2.0",".383","-0.3","0.2","-0.2","53","15.7",".381","139"
"Dodgers","294","9.5 %","19.0 %","0.50",".293",".365",".564",".929",".270","5.0",".316","0.1","0.2","0.7","52","14.7",".378","139"
"Astros","289","11.4 %","21.5 %","0.53",".282",".372",".492",".863",".210","3.3",".331","-0.1","-0.3","-0.8","47","10.8",".363","131"
"Diamondbacks","237","6.3 %","22.4 %","0.28",".293",".350",".521",".871",".228","5.8",".344","0.6","0.0","0.5","38","8.6",".362","121"
"Phillies","234","6.8 %","22.6 %","0.30",".299",".348",".533",".880",".234","6.8",".357","0.0","0.2","0.7","38","8.4",".362","124"
"Braves","233","13.3 %","21.0 %","0.63",".268",".373",".455",".828",".187","5.2",".317","0.3","0.2","0.9","36","6.5",".352","117"
"Rockies","273","4.4 %","24.9 %","0.18",".291",".327",".524",".851",".232","4.6",".350","0.4","0.0","-0.2","42","7.4",".351","101"
"Indians","271","10.7 %","19.6 %","0.55",".268",".356",".476",".832",".208","3.3",".297","-0.5","-0.2","-0.5","41","7.1",".350","115"
"Red Sox","219","9.6 %","18.3 %","0.53",".247",".332",".505",".837",".258","3.7",".250","-0.2","0.0","-0.3","33","5.1",".347","113"
"Rays","267","7.1 %","25.1 %","0.28",".276",".337",".481",".819",".206","5.2",".333","0.1","0.3","0.2","39","5.3",".343","117"
"Athletics","248","11.7 %","21.4 %","0.55",".244",".356",".421",".777",".177","3.6",".293","0.0","-0.4","-0.6","34","3.3",".335","112"
"Nationals","215","5.6 %","20.0 %","0.28",".246",".307",".487",".794",".241","6.9",".268","-0.4","-0.2","0.5","29","1.7",".329","98"
"Cubs","257","7.8 %","25.3 %","0.31",".249",".325",".454",".780",".205","4.3",".305","0.5","-0.2","-0.6","34","2.0",".329","103"
"Mets","279","7.9 %","18.6 %","0.42",".259",".329",".442",".771",".183","2.7",".291","-0.5","0.1","-0.6","37","1.9",".328","106"
"Royals","227","7.9 %","18.5 %","0.43",".269",".336",".423",".759",".154","3.5",".303","-0.1","-0.1","-0.6","29","0.5",".322","98"
"Padres","263","7.2 %","22.4 %","0.32",".251",".313",".444",".756",".192","5.3",".297","-0.1","-0.1","-0.6","33","-0.2",".319","97"
"Orioles","229","4.8 %","20.1 %","0.24",".275",".314",".417",".731",".142","5.2",".315","0.0","0.0","0.8","27","-2.1",".309","90"
"Yankees","225","8.0 %","23.6 %","0.34",".225",".293",".441",".735",".216","2.4",".243","0.1","0.0","0.1","26","-2.2",".309","92"
"Cardinals","251","8.0 %","23.5 %","0.34",".247",".315",".405",".720",".159","6.4",".307","0.4","0.1","0.4","29","-2.7",".308","92"
"Blue Jays","214","9.8 %","26.2 %","0.38",".225",".300",".382",".683",".157","2.2",".273","-0.3","0.0","0.1","22","-4.9",".294","82"
"White Sox","269","7.4 %","24.9 %","0.30",".256",".322",".339",".661",".083","1.7",".345","0.3","0.2","-0.6","27","-6.8",".291","80"
"Angels","209","12.0 %","21.5 %","0.56",".220",".316",".363",".678",".143","3.5",".263","0.0","-0.2","0.1","21","-5.3",".291","82"
"Rangers","257","7.8 %","23.7 %","0.33",".232",".293",".378",".671",".146","3.7",".286","0.0","-0.2","0.1","25","-7.7",".285","67"
"Tigers","244","2.5 %","32.4 %","0.08",".249",".267",".403",".671",".155","3.9",".340","-0.1","-0.4","-0.1","22","-8.5",".280","70"
"Mariners","263","10.3 %","21.3 %","0.48",".214",".309",".319",".628",".105","3.9",".265","0.6","0.4","-1.1","24","-9.2",".280","75"
"Giants","214","3.7 %","22.9 %","0.16",".233",".271",".381",".652",".149","2.5",".272","0.2","0.0","0.1","19","-8.0",".276","72"
"Reds","302","7.6 %","25.5 %","0.30",".198",".268",".385",".653",".187","3.4",".222","-0.3","-0.2","-0.6","27","-11.5",".276","65"
"Brewers","225","8.9 %","32.0 %","0.28",".207",".280",".325",".605",".118","2.7",".291","0.1","0.0","0.1","17","-11.1",".263","58"
"Marlins","217","7.8 %","34.6 %","0.23",".187",".250",".333",".583",".146","1.8",".250","-0.3","-0.3","-0.3","14","-13.3",".249","54"
