"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rangers","285","7.0 %","21.8 %","0.32",".326",".382",".616",".999",".291","3.5",".370","0.0","0.3","-0.4","58","22.0",".409","150"
"Twins","285","7.4 %","18.2 %","0.40",".307",".361",".537",".898",".230","3.9",".330","-0.3","0.3","-0.4","49","13.0",".373","133"
"Indians","237","12.7 %","17.3 %","0.73",".266",".367",".502",".870",".236","3.9",".278","0.4","0.1","-0.6","39","9.2",".365","125"
"Athletics","241","7.5 %","20.7 %","0.36",".283",".344",".530",".874",".247","4.6",".312","0.3","-0.2","-0.8","39","8.7",".362","130"
"Astros","237","11.8 %","17.7 %","0.67",".264",".347",".498",".845",".234","4.7",".282","-0.2","0.0","-0.8","36","6.1",".350","122"
"Brewers","256","10.9 %","20.3 %","0.54",".268",".365",".445",".810",".177","3.6",".308","0.0","-0.1","-0.5","38","5.6",".345","112"
"Red Sox","243","8.2 %","17.3 %","0.48",".284",".342",".486",".828",".203","5.1",".310","-0.1","-0.1","0.9","36","5.2",".345","111"
"Nationals","263","9.5 %","17.9 %","0.53",".282",".359",".453",".812",".171","2.9",".324","0.0","-0.1","-0.4","39","5.6",".344","108"
"Braves","269","11.9 %","20.8 %","0.57",".258",".346",".480",".826",".223","2.9",".276","0.0","0.2","-0.2","39","5.6",".344","112"
"Angels","229","8.7 %","20.5 %","0.43",".286",".358",".399",".757",".113","2.5",".351","0.0","-0.2","-0.2","31","1.7",".328","107"
"Yankees","228","8.3 %","23.2 %","0.36",".250",".311",".481",".792",".231","4.5",".273","-0.4","0.0","-0.1","30","1.4",".327","104"
"Mariners","221","5.4 %","28.1 %","0.19",".261",".303",".483",".786",".222","2.5",".313","-0.3","0.3","-0.8","29","1.4",".327","107"
"Cubs","277","6.9 %","24.5 %","0.28",".267",".325",".453",".778",".186","3.1",".320","0.3","-0.1","-0.1","37","1.7",".327","101"
"Cardinals","238","11.8 %","17.6 %","0.67",".237",".329",".415",".745",".179","3.4",".255","0.1","0.0","0.3","30","-0.1",".320","98"
"Pirates","232","6.0 %","18.1 %","0.33",".265",".313",".442",".755",".177","3.3",".288","-0.1","0.0","0.3","29","-0.5",".318","97"
"Dodgers","189","8.5 %","21.7 %","0.39",".228",".310",".419",".729",".192","2.9",".254","0.1","0.1","0.1","22","-2.0",".308","92"
"Royals","232","9.1 %","19.4 %","0.47",".270",".348",".348",".696",".078","3.9",".344","-0.1","0.0","0.0","27","-2.5",".308","88"
"Phillies","254","10.2 %","22.0 %","0.46",".222",".304",".373",".678",".151","4.4",".264","0.2","0.3","0.0","26","-6.3",".291","76"
"Rays","196","9.2 %","27.0 %","0.34",".217",".301",".371",".672",".154","1.5",".270","0.1","0.1","-1.2","20","-5.1",".290","82"
"Orioles","251","5.6 %","26.7 %","0.21",".227",".275",".412",".687",".185","4.2",".277","0.0","-0.1","0.1","25","-6.9",".288","75"
"Blue Jays","247","9.7 %","19.0 %","0.51",".209",".289",".386",".675",".177","3.3",".220","-0.2","0.0","-0.4","24","-6.9",".287","78"
"Diamondbacks","223","9.9 %","24.7 %","0.40",".201",".294",".371",".665",".170","5.8",".241","0.4","-0.1","0.7","22","-6.5",".286","73"
"Giants","220","8.6 %","25.5 %","0.34",".201",".273",".382",".655",".181","4.8",".241","-0.1","0.1","0.1","20","-7.9",".278","73"
"Mets","247","8.5 %","25.1 %","0.34",".206",".276",".363",".640",".157","2.2",".247","-0.4","-0.2","-0.1","21","-10.4",".271","70"
"Rockies","194","4.1 %","34.0 %","0.12",".210",".254",".392",".646",".182","3.4",".284","0.0","0.0","-0.5","16","-8.2",".271","49"
"Reds","210","4.8 %","25.2 %","0.19",".231",".268",".357",".625",".126","3.8",".281","-0.4","-0.1","0.7","16","-10.0",".265","57"
"Padres","236","6.8 %","33.5 %","0.20",".194",".255",".336",".592",".143","2.1",".262","-0.5","-0.2","0.1","16","-13.6",".253","55"
"Marlins","168","5.4 %","25.0 %","0.21",".219",".263",".329",".593",".110","3.9",".277","-0.2","-0.2","0.5","11","-9.9",".252","55"
"White Sox","198","4.5 %","24.2 %","0.19",".235",".284",".284",".568",".049","3.4",".311","0.3","0.1","-0.8","13","-12.0",".250","54"
"Tigers","202","6.4 %","28.7 %","0.22",".161",".218",".301",".519",".140","4.1",".206","-0.4","0.2","-0.5","8","-17.1",".222","32"
