"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","302","7.9 %","24.5 %","0.32",".319",".384",".541",".925",".222","2.9",".385","-0.3","0.2","-0.2","55","17.0",".385","142"
"Pirates","253","6.3 %","16.6 %","0.38",".333",".382",".544",".925",".211","2.8",".364","-0.2","0.0","-0.4","46","14.1",".384","140"
"Nationals","222","5.4 %","17.1 %","0.32",".294",".349",".572",".921",".279","6.2",".311","-0.4","-0.2","0.5","39","11.3",".379","129"
"Dodgers","284","9.9 %","19.7 %","0.50",".273",".350",".558",".908",".285","4.6",".285","0.1","0.2","0.5","48","11.8",".368","132"
"Braves","231","13.4 %","20.3 %","0.66",".277",".385",".477",".862",".200","6.2",".326","0.3","0.2","0.7","38","9.3",".366","126"
"Phillies","236","8.5 %","24.6 %","0.34",".300",".355",".543",".898",".243","6.9",".367","-0.1","0.2","0.7","39","9.3",".365","126"
"Diamondbacks","233","6.4 %","22.7 %","0.28",".297",".352",".533",".885",".236","6.0",".356","0.6","0.0","0.3","38","9.0",".365","122"
"Mets","284","8.5 %","18.3 %","0.46",".276",".346",".480",".827",".205","2.7",".304","-0.5","0.1","-0.4","43","7.1",".349","121"
"Athletics","247","11.7 %","20.2 %","0.58",".250",".358",".457",".814",".207","5.9",".289","0.0","-0.4","0.3","37","5.5",".345","119"
"Royals","228","9.2 %","18.9 %","0.49",".271",".348",".452",".800",".181","4.8",".300","0.0","0.0","0.6","32","3.6",".338","109"
"Rockies","267","4.9 %","25.8 %","0.19",".271",".312",".506",".818",".235","4.5",".325","0.4","0.0","-0.1","38","4.1",".338","93"
"Rays","294","6.8 %","24.1 %","0.28",".268",".327",".465",".791",".197","6.7",".317","0.1","0.3","1.2","40","3.1",".332","110"
"Cubs","256","9.0 %","24.6 %","0.37",".241",".327",".446",".773",".205","4.8",".285","0.4","-0.2","0.0","34","1.6",".327","102"
"Red Sox","214","7.9 %","22.4 %","0.35",".230",".308",".471",".779",".241","3.5",".246","-0.2","0.0","-0.3","28","0.7",".323","97"
"Yankees","217","6.9 %","24.4 %","0.28",".231",".290",".482",".773",".251","2.7",".235","0.1","0.1","0.1","27","0.1",".321","100"
"Padres","268","7.8 %","22.4 %","0.35",".255",".318",".436",".755",".181","5.4",".303","-0.1","-0.1","-0.2","34","-0.1",".319","98"
"Astros","273","11.0 %","22.7 %","0.48",".243",".330",".418",".748",".176","3.1",".288","-0.1","-0.3","-0.8","34","-0.3",".319","101"
"Indians","260","9.6 %","24.6 %","0.39",".243",".324",".420",".745",".177","3.5",".288","-0.5","-0.2","0.0","32","-0.6",".317","93"
"Orioles","263","4.2 %","21.7 %","0.19",".279",".312",".429",".741",".150","4.9",".326","0.1","0.0","1.0","31","-1.7",".312","92"
"Angels","215","12.6 %","23.7 %","0.53",".231",".330",".403",".733",".172","4.0",".279","0.0","-0.2","0.7","25","-1.6",".311","95"
"Tigers","252","2.0 %","28.2 %","0.07",".286",".299",".448",".747",".162","4.0",".371","-0.1","-0.4","-0.1","30","-2.1",".310","90"
"White Sox","273","8.4 %","24.2 %","0.35",".258",".328",".377",".705",".119","3.1",".337","0.3","0.2","-0.4","31","-3.2",".306","90"
"Mariners","271","11.1 %","22.5 %","0.49",".236",".337",".330",".668",".094","4.4",".302","0.7","0.4","-0.5","29","-5.0",".298","87"
"Blue Jays","213","9.4 %","26.8 %","0.35",".204",".278",".377",".655",".173","2.2",".244","-0.3","0.0","0.1","20","-7.3",".280","73"
"Brewers","223","9.0 %","29.1 %","0.31",".220",".293",".355",".648",".135","2.3",".298","0.1","0.0","-0.1","20","-7.9",".279","68"
"Rangers","252","7.5 %","25.0 %","0.30",".223",".283",".371",".654",".148","3.7",".278","-0.1","-0.3","0.1","23","-9.2",".278","61"
"Cardinals","240","6.7 %","25.8 %","0.26",".226",".283",".362",".645",".136","6.7",".290","0.4","0.0","0.7","21","-9.0",".277","71"
"Giants","210","3.3 %","26.2 %","0.13",".220",".252",".365",".617",".145","0.9",".266","0.2","0.0","-0.1","16","-10.7",".261","62"
"Reds","294","7.5 %","27.6 %","0.27",".181",".252",".332",".584",".151","1.9",".215","-0.4","-0.1","-1.0","19","-17.7",".250","49"
"Marlins","220","8.2 %","34.1 %","0.24",".171",".242",".332",".574",".161","2.5",".216","-0.3","-0.3","-0.1","13","-14.3",".245","51"
