"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"White Sox","203","8.9 %","25.6 %","0.35",".307",".381",".486",".867",".179","4.6",".397","0.1","0.0","-0.2","33","7.6",".363","131"
"Rangers","271","10.3 %","23.6 %","0.44",".274",".351",".490",".840",".216","4.0",".321","0.6","0.3","0.0","42","7.6",".352","112"
"Cubs","264","8.7 %","25.4 %","0.34",".261",".337",".517",".855",".257","3.1",".299","0.2","-0.2","-0.4","40","7.0",".351","116"
"Yankees","236","10.2 %","19.5 %","0.52",".282",".365",".422",".787",".141","4.6",".338","0.1","0.1","0.8","34","4.3",".341","112"
"Braves","261","8.0 %","17.6 %","0.46",".263",".326",".475",".800",".212","3.5",".282","0.2","0.2","-0.4","36","3.4",".335","105"
"Phillies","218","9.2 %","23.4 %","0.39",".246",".336",".445",".781",".199","4.2",".295","0.1","0.1","0.1","30","2.3",".332","104"
"Rockies","232","9.1 %","22.8 %","0.40",".236",".311",".488",".799",".251","5.5",".262","0.1","0.0","0.3","32","2.4",".332","90"
"Red Sox","223","10.3 %","20.2 %","0.51",".260",".342",".443",".785",".182","4.5",".299","0.0","0.0","0.7","30","2.2",".331","101"
"Angels","226","11.9 %","13.3 %","0.90",".259",".353",".420",".772",".161","5.4",".272","0.0","-0.4","0.0","31","2.2",".331","109"
"Twins","206","8.3 %","21.8 %","0.38",".213",".288",".492",".780",".279","4.0",".198","-0.2","0.1","0.5","26","0.3",".322","100"
"Tigers","197","10.7 %","30.5 %","0.35",".246",".325",".429",".753",".183","3.0",".324","-0.3","0.1","-0.8","25","-0.2",".319","98"
"Brewers","223","9.9 %","22.9 %","0.43",".256",".336",".402",".738",".146","4.8",".312","0.0","-0.1","0.6","27","-0.7",".316","94"
"Cardinals","226","9.7 %","22.1 %","0.44",".259",".347",".350",".697",".091","2.3",".336","0.1","0.0","-0.8","26","-2.5",".307","90"
"Reds","265","10.2 %","21.9 %","0.47",".242",".330",".388",".717",".145","2.9",".287","-0.6","-0.3","-0.4","30","-3.2",".306","83"
"Marlins","225","5.8 %","19.1 %","0.30",".277",".332",".356",".688",".079","1.7",".338","-0.2","-0.3","-1.0","25","-3.7",".301","87"
"Royals","215","9.3 %","20.0 %","0.47",".242",".316",".379",".695",".137","7.0",".293","-0.1","0.1","0.0","23","-3.9",".299","82"
"Diamondbacks","237","9.7 %","23.2 %","0.42",".219",".300",".400",".700",".181","5.9",".270","0.4","0.0","0.3","25","-4.6",".298","81"
"Mets","227","10.1 %","26.4 %","0.38",".240",".323",".360",".683",".120","3.0",".326","-0.4","0.0","-0.4","24","-4.9",".295","84"
"Dodgers","256","8.6 %","21.9 %","0.39",".238",".307",".374",".682",".137","6.3",".286","0.1","0.2","0.7","26","-6.0",".293","83"
"Blue Jays","194","6.2 %","24.7 %","0.25",".235",".281",".402",".683",".168","3.0",".280","-0.2","-0.1","0.1","19","-5.2",".289","79"
"Indians","223","7.2 %","25.6 %","0.28",".220",".277",".405",".682",".185","3.8",".244","0.3","0.1","0.7","22","-6.3",".287","72"
"Astros","262","10.3 %","23.3 %","0.44",".222",".304",".361",".665",".139","2.5",".268","-0.2","-0.3","-0.2","26","-7.5",".287","80"
"Rays","183","9.8 %","20.2 %","0.49",".213",".295",".366",".661",".152","6.1",".252","0.2","0.0","0.5","17","-5.7",".284","77"
"Orioles","230","6.5 %","27.0 %","0.24",".244",".303",".354",".657",".110","4.3",".326","0.0","0.1","0.5","22","-7.3",".283","73"
"Mariners","232","12.9 %","28.4 %","0.45",".198",".310",".315",".625",".117","3.5",".271","-0.4","0.3","0.3","21","-8.1",".280","76"
"Nationals","239","8.8 %","25.9 %","0.34",".210",".290",".355",".645",".145","3.2",".246","0.0","0.1","0.7","22","-8.4",".279","67"
"Pirates","231","5.2 %","25.5 %","0.20",".233",".276",".353",".630",".121","2.7",".298","0.1","0.0","0.1","19","-9.9",".270","63"
"Giants","214","7.5 %","23.8 %","0.31",".224",".280",".327",".607",".102","3.7",".285","0.0","0.0","0.1","16","-10.5",".263","63"
"Padres","221","6.3 %","30.8 %","0.21",".202",".255",".360",".614",".158","3.6",".250","-0.1","-0.3","0.3","17","-11.3",".261","59"
"Athletics","227","11.5 %","25.6 %","0.45",".167",".269",".247",".516",".081","1.7",".223","0.2","-0.3","-0.8","12","-16.8",".235","45"
