"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Red Sox","272","5.1 %","21.7 %","0.24",".315",".353",".606",".959",".291","5.6",".361","-0.2","0.0","-0.1","51","16.7",".391","142"
"Yankees","288","8.0 %","21.9 %","0.37",".316",".368",".567",".935",".251","4.0",".370","0.1","0.0","-0.4","53","16.5",".386","144"
"Twins","289","10.7 %","18.7 %","0.57",".280",".361",".572",".933",".292","2.7",".278","-0.2","0.4","-0.2","52","15.8",".383","141"
"Braves","204","10.8 %","26.5 %","0.41",".290",".379",".460",".840",".170","4.1",".379","0.1","0.2","0.0","33","7.0",".360","121"
"Mariners","269","8.9 %","27.1 %","0.33",".296",".369",".471",".840",".175","4.5",".400","1.1","0.2","-0.9","42","8.2",".355","126"
"Reds","227","6.2 %","25.6 %","0.24",".285",".341",".488",".829",".203","4.2",".350","-0.5","0.0","-0.4","34","5.5",".348","113"
"Indians","305","8.9 %","15.4 %","0.57",".287",".355",".478",".833",".190","4.8",".316","0.3","0.1","-0.3","45","7.0",".346","111"
"Orioles","298","6.7 %","27.5 %","0.24",".277",".333",".480",".813",".203","4.6",".337","0.0","0.2","0.8","43","5.6",".342","111"
"Astros","232","9.5 %","23.7 %","0.40",".254",".333",".478",".811",".224","4.1",".293","-0.1","-0.2","0.1","33","4.3",".341","116"
"Cardinals","272","8.5 %","24.6 %","0.34",".243",".310",".514",".824",".272","5.8",".264","0.4","0.0","0.9","39","4.3",".338","111"
"Brewers","233","13.7 %","23.2 %","0.59",".233",".357",".404",".761",".171","4.5",".282","0.1","0.1","0.0","31","1.9",".329","99"
"Angels","259","8.9 %","21.6 %","0.41",".234",".305",".489",".794",".255","5.8",".248","-0.1","-0.1","0.7","34","1.6",".327","106"
"Rockies","273","10.6 %","25.3 %","0.42",".256",".337",".424",".761",".168","4.3",".329","0.1","-0.1","-0.2","35","1.0",".324","83"
"Nationals","263","10.3 %","20.9 %","0.49",".252",".337",".413",".750",".161","5.9",".302","0.1","-0.1","1.3","33","0.3",".321","96"
"Diamondbacks","228","11.4 %","20.6 %","0.55",".251",".342",".397",".739",".146","6.3",".304","0.4","0.0","0.4","28","-0.6",".317","93"
"Rangers","266","4.9 %","22.6 %","0.22",".261",".301",".434",".734",".173","4.2",".304","0.2","0.4","-0.4","31","-2.6",".309","82"
"Rays","232","12.5 %","23.3 %","0.54",".223",".319",".371",".690",".149","4.4",".278","0.1","0.1","0.3","25","-4.3",".299","87"
"Dodgers","190","11.6 %","22.6 %","0.51",".232",".317",".378",".696",".146","3.5",".271","0.1","0.2","0.1","20","-3.6",".298","85"
"Phillies","220","5.9 %","24.5 %","0.24",".241",".297",".404",".701",".163","3.9",".296","0.4","0.1","0.1","23","-4.5",".296","80"
"Mets","218","9.2 %","22.5 %","0.41",".202",".286",".420",".705",".218","2.4",".209","-0.4","-0.2","-0.5","22","-5.1",".293","83"
"Padres","228","11.8 %","24.1 %","0.49",".232",".327",".325",".652",".093","2.3",".302","0.1","-0.2","-1.3","22","-6.2",".288","78"
"Blue Jays","222","7.7 %","24.8 %","0.31",".192",".261",".384",".645",".192","1.7",".210","-0.2","0.0","-0.3","19","-8.7",".274","68"
"Pirates","269","7.1 %","21.9 %","0.32",".225",".293",".333",".627",".108","1.9",".283","-0.2","0.0","-1.0","23","-11.1",".272","65"
"Royals","240","7.5 %","22.5 %","0.33",".212",".283",".304",".587",".092","1.0",".258","-0.4","-0.1","-0.1","18","-12.4",".260","57"
"Giants","246","8.1 %","24.4 %","0.33",".203",".276",".324",".601",".122","2.1",".258","0.0","-0.2","0.1","18","-12.9",".259","60"
"White Sox","243","4.5 %","27.6 %","0.16",".208",".249",".350",".599",".142","5.7",".260","0.2","0.1","1.1","17","-13.9",".254","57"
"Tigers","233","5.2 %","30.0 %","0.17",".203",".258",".318",".575",".115","3.2",".275","-0.1","0.2","0.3","14","-14.9",".246","48"
"Cubs","226","4.0 %","30.5 %","0.13",".196",".239",".341",".580",".145","3.5",".248","0.3","-0.1","0.3","14","-14.6",".245","47"
"Athletics","253","9.5 %","28.5 %","0.33",".166",".249",".287",".536",".121","3.0",".208","0.2","-0.1","-0.1","14","-18.3",".236","46"
"Marlins","199","2.0 %","24.6 %","0.08",".196",".217",".323",".540",".127","0.9",".232","-0.5","-0.3","-0.1","9","-16.1",".227","39"
