"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Dodgers","39","7.7 %","7.7 %","1.00",".343",".395","1.057","1.452",".714","2.6",".167","0.0","0.0","0.0","13","8.2",".563","252"
"Mariners","43","9.3 %","20.9 %","0.44",".333",".419",".861","1.280",".528","5.1",".304","0.0","0.0","0.0","12","6.6",".496","221"
"Cubs","46","17.4 %","15.2 %","1.14",".351",".478",".676","1.154",".324","3.4",".370","0.0","-0.1","-0.5","12","6.1",".474","197"
"Yankees","39","20.5 %","20.5 %","1.00",".310",".462",".552","1.013",".241","1.6",".350","0.0","-0.1","0.0","8","3.5",".424","169"
"Astros","37","5.4 %","21.6 %","0.25",".286",".324",".629",".953",".343","2.8",".292","0.0","-0.1","-0.9","7","2.2",".387","150"
"Phillies","37","16.2 %","24.3 %","0.67",".226",".351",".516",".867",".290","2.6",".211","0.0","0.0","0.0","5","0.8",".345","114"
"Brewers","32","6.3 %","15.6 %","0.40",".233",".281",".533",".815",".300","1.6",".182","0.0","0.0","0.0","4","0.4",".334","110"
"Rockies","39","7.7 %","17.9 %","0.43",".250",".308",".472",".780",".222","2.4",".286","0.0","0.0","0.0","5","0.2",".326","93"
"Diamondbacks","35","0.0 %","28.6 %","0.00",".273",".257",".576",".833",".303","2.2",".304","0.0","0.0","0.0","5","0.1",".324","102"
"Braves","36","16.7 %","25.0 %","0.67",".233",".361",".367",".728",".133","2.9",".300","0.0","0.0","-0.3","5","0.1",".324","100"
"Athletics","32","3.1 %","12.5 %","0.25",".233",".250",".533",".783",".300","8.0",".200","0.0","0.0","0.2","4","-0.3",".310","99"
"Reds","34","8.8 %","23.5 %","0.38",".194",".265",".484",".749",".290","3.8",".190","-0.1","-0.1","-0.4","4","-0.4",".308","90"
"Red Sox","40","2.5 %","20.0 %","0.13",".289",".300",".368",".668",".079","5.6",".355","0.0","0.0","0.4","4","-1.3",".282","69"
"Pirates","39","17.9 %","28.2 %","0.64",".161",".316",".258",".574",".097","0.7",".211","0.0","0.0","0.0","3","-1.7",".270","62"
"Rangers","34","5.9 %","17.6 %","0.33",".188",".235",".406",".642",".219","3.1",".167","0.0","0.1","-0.4","3","-1.5",".267","62"
"Cardinals","34","5.9 %","32.4 %","0.18",".156",".206",".438",".643",".281","1.1",".111","0.0","0.0","0.0","3","-1.7",".263","66"
"Padres","28","3.6 %","32.1 %","0.11",".222",".250",".370",".620",".148","2.0",".294","0.0","0.0","-0.4","2","-1.4",".262","66"
"Royals","36","8.3 %","19.4 %","0.43",".161",".250",".323",".573",".161","9.8",".200","0.0","0.0","0.4","2","-2.3",".245","52"
"Marlins","34","2.9 %","20.6 %","0.14",".125",".176",".406",".583",".281","0.1",".045","0.0","-0.1","0.0","2","-2.4",".238","52"
"Orioles","35","2.9 %","25.7 %","0.11",".235",".257",".265",".522",".029","0.9",".320","0.0","0.0","0.0","2","-2.8",".228","44"
"Tigers","37","10.8 %","40.5 %","0.27",".125",".243",".250",".493",".125","1.7",".188","-0.1","0.1","-0.5","2","-3.0",".226","40"
"Mets","34","8.8 %","35.3 %","0.25",".161",".235",".258",".493",".097","1.6",".222","0.0","0.0","-0.5","1","-2.9",".220","38"
"Rays","34","2.9 %","35.3 %","0.08",".129",".206",".258",".464",".129","0.1",".167","0.1","0.0","0.0","1","-3.3",".207","33"
"Twins","31","3.2 %","19.4 %","0.17",".143",".226",".214",".440",".071","2.0",".182","0.0","0.0","0.0","1","-3.1",".203","25"
"Angels","33","12.1 %","9.1 %","1.33",".107",".242",".143",".385",".036","0.1",".120","0.0","-0.1","0.0","1","-3.6",".195","22"
"White Sox","36","11.1 %","13.9 %","0.80",".129",".250",".129",".379",".000","1.9",".154","0.1","0.0","0.0","1","-3.9",".193","18"
"Nationals","33","3.0 %","42.4 %","0.07",".161",".212",".194",".406",".032","5.0",".294","0.0","0.0","0.6","0","-3.8",".185","12"
"Giants","31","3.2 %","16.1 %","0.20",".167",".194",".167",".360",".000","0.1",".200","-0.1","0.0","0.0","0","-4.2",".163","2"
"Indians","30","3.3 %","43.3 %","0.08",".069",".100",".103",".203",".034","0.1",".125","0.0","0.0","0.0","-2","-5.9",".093","-45"
"Blue Jays","33","3.0 %","21.2 %","0.14",".063",".091",".063",".153",".000","0.1",".080","0.0","0.0","0.0","-3","-7.0",".074","-56"
