"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rockies","200","9.0 %","21.5 %","0.42",".322",".384",".565",".949",".243","5.8",".388","0.1","0.0","-0.3","37","12.3",".391","128"
"Astros","264","9.8 %","17.0 %","0.58",".303",".375",".567",".942",".264","3.1",".306","-0.1","-0.3","-0.2","49","15.7",".389","148"
"Twins","279","10.0 %","19.0 %","0.53",".292",".369",".527",".896",".235","3.3",".317","-0.3","0.2","-0.2","48","12.8",".373","133"
"Rays","207","11.1 %","23.2 %","0.48",".280",".367",".484",".851",".203","4.0",".341","0.3","0.1","0.5","33","7.1",".359","129"
"Angels","238","7.1 %","16.4 %","0.44",".274",".329",".526",".855",".251","5.7",".277","-0.2","-0.3","0.1","37","6.7",".352","124"
"Red Sox","251","14.3 %","21.1 %","0.68",".248",".357",".438",".796",".190","3.6",".277","-0.1","0.0","-0.4","36","4.3",".340","108"
"Dodgers","264","11.0 %","17.0 %","0.64",".252",".347",".460",".808",".208","5.0",".263","0.0","0.2","0.7","38","4.3",".339","111"
"Mets","224","8.9 %","25.4 %","0.35",".266",".344",".437",".781",".171","2.1",".333","-0.4","-0.1","-0.4","31","2.7",".334","110"
"Cubs","285","14.4 %","20.0 %","0.72",".239",".353",".437",".790",".197","3.5",".272","0.4","-0.2","-1.0","39","3.0",".332","103"
"Giants","235","11.1 %","26.0 %","0.43",".237",".323",".435",".758",".198","5.3",".290","-0.1","0.2","-0.6","30","0.4",".322","102"
"Mariners","268","8.2 %","23.1 %","0.35",".244",".310",".455",".764",".211","3.9",".276","-0.4","0.4","-0.8","34","-0.1",".319","102"
"Padres","218","5.5 %","26.1 %","0.21",".257",".300",".441",".740",".183","5.3",".312","-0.4","-0.3","0.5","25","-2.2",".308","90"
"Reds","280","8.6 %","20.0 %","0.43",".221",".307",".406",".713",".185","6.5",".242","-0.5","-0.1","0.4","31","-3.8",".304","83"
"Brewers","244","12.7 %","26.6 %","0.48",".228",".329",".374",".703",".146","3.8",".295","0.1","-0.1","0.5","27","-3.7",".303","85"
"Rangers","218","11.0 %","28.9 %","0.38",".209",".304",".398",".702",".188","4.8",".261","0.3","0.3","0.7","24","-3.7",".300","76"
"Cardinals","264","11.0 %","19.3 %","0.57",".234",".323",".351",".674",".117","2.0",".274","0.1","0.0","-1.0","27","-6.0",".293","80"
"White Sox","245","5.3 %","25.3 %","0.21",".246",".295",".393",".687",".147","4.7",".308","0.3","0.1","1.1","25","-5.7",".293","82"
"Royals","223","6.3 %","25.6 %","0.25",".218",".284",".406",".690",".188","5.7",".255","-0.1","0.1","-0.2","23","-5.3",".292","77"
"Indians","258","8.5 %","23.3 %","0.37",".251",".318",".351",".668",".100","2.5",".321","0.4","0.0","-0.4","26","-6.6",".290","75"
"Phillies","230","10.4 %","20.0 %","0.52",".224",".311",".333",".645",".109","4.4",".275","0.2","0.2","0.1","22","-7.4",".283","69"
"Yankees","236","6.4 %","20.3 %","0.31",".231",".292",".366",".658",".134","4.6",".270","-0.1","-0.3","0.1","22","-7.8",".282","74"
"Diamondbacks","281","9.3 %","25.6 %","0.36",".210",".295",".351",".646",".141","5.1",".263","0.5","-0.1","0.9","26","-9.4",".281","71"
"Pirates","227","5.3 %","22.5 %","0.24",".231",".278",".373",".650",".142","5.5",".276","-0.1","-0.1","0.3","20","-8.4",".277","69"
"Athletics","251","11.2 %","21.9 %","0.51",".205",".300",".318",".618",".114","4.2",".250","0.3","-0.3","0.7","21","-10.2",".273","70"
"Tigers","251","5.2 %","24.7 %","0.21",".208",".251",".386",".637",".178","4.1",".250","-0.1","0.2","-0.1","20","-11.5",".267","61"
"Braves","248","3.6 %","22.2 %","0.16",".216",".250",".373",".623",".157","4.3",".247","0.1","0.2","-0.4","19","-12.4",".262","57"
"Orioles","187","4.3 %","29.4 %","0.15",".200",".247",".349",".596",".149","3.8",".254","0.0","-0.1","0.5","13","-10.6",".254","52"
"Nationals","253","5.9 %","26.9 %","0.22",".193",".256",".281",".537",".088","2.7",".248","0.1","0.1","-0.4","14","-18.1",".237","40"
"Marlins","266","7.9 %","25.2 %","0.31",".204",".272",".254",".526",".050","3.6",".276","-0.2","-0.4","0.9","14","-19.1",".237","46"
"Blue Jays","198","8.6 %","23.7 %","0.36",".160",".232",".287",".520",".127","1.6",".186","-0.2","-0.2","-0.5","9","-15.8",".228","37"
