"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Red Sox","170","5.9 %","17.6 %","0.33",".354",".391",".620","1.011",".266","3.7",".387","-0.2","0.0","0.1","36","14.3",".417","161"
"Blue Jays","231","11.7 %","19.5 %","0.60",".300",".383",".600",".983",".300","4.7",".312","-0.2","0.0","0.3","46","16.7",".403","155"
"Yankees","176","11.9 %","23.9 %","0.50",".316",".397",".526",".923",".211","3.9",".400","0.0","0.2","0.1","32","10.1",".386","142"
"Pirates","264","5.7 %","16.3 %","0.35",".316",".360",".578",".938",".262","3.8",".333","-0.1","0.0","0.0","48","15.0",".386","140"
"Giants","281","8.2 %","18.1 %","0.45",".299",".366",".542",".907",".243","3.3",".333","0.1","0.1","-0.6","49","13.6",".376","136"
"Dodgers","256","10.5 %","18.0 %","0.59",".289",".370",".516",".886",".227","3.6",".321","0.0","0.1","-0.1","44","11.3",".371","135"
"Rockies","239","6.7 %","20.9 %","0.32",".315",".359",".507",".865",".192","5.5",".378","0.2","0.0","0.1","38","8.3",".360","107"
"Orioles","236","8.1 %","28.0 %","0.29",".284",".350",".493",".843",".209","4.0",".368","0.0","-0.1","-0.8","37","7.1",".355","120"
"Athletics","236","11.9 %","23.3 %","0.51",".228",".326",".451",".778",".223","3.8",".257","0.3","0.0","-0.8","32","2.1",".330","109"
"Cubs","268","7.5 %","25.0 %","0.30",".258",".321",".463",".784",".205","3.1",".311","0.2","-0.2","-0.1","36","2.3",".330","103"
"White Sox","190","4.7 %","21.6 %","0.22",".274",".312",".480",".792",".206","4.8",".305","0.2","0.3","0.1","25","1.4",".329","108"
"Braves","227","6.6 %","25.1 %","0.26",".261",".322",".459",".781",".198","4.9",".317","0.0","0.2","0.7","30","1.5",".327","99"
"Padres","225","5.8 %","21.8 %","0.27",".260",".304",".486",".789",".226","4.5",".282","0.0","-0.1","0.1","30","1.4",".327","102"
"Reds","227","6.6 %","19.4 %","0.34",".272",".338",".431",".768",".158","5.1",".309","-0.3","0.0","0.4","30","1.3",".326","97"
"Nationals","223","8.1 %","17.0 %","0.47",".238",".306",".455",".762",".218","4.7",".247","0.2","-0.1","-0.4","28","0.1",".320","94"
"Astros","233","7.3 %","16.7 %","0.44",".265",".323",".412",".736",".147","4.8",".298","-0.1","-0.1","0.5","27","-1.9",".310","96"
"Angels","231","8.7 %","20.8 %","0.42",".252",".325",".388",".713",".136","2.4",".294","-0.2","-0.2","-0.4","26","-2.7",".306","92"
"Phillies","229","9.2 %","21.8 %","0.42",".235",".314",".395",".709",".160","2.8",".271","0.1","0.1","-0.4","26","-3.0",".305","84"
"Marlins","220","5.0 %","26.8 %","0.19",".263",".309",".405",".714",".141","4.0",".350","-0.5","-0.4","-0.3","25","-3.0",".304","89"
"Royals","223","6.7 %","25.6 %","0.26",".260",".311",".402",".713",".142","3.5",".333","-0.2","-0.1","-0.6","25","-3.5",".302","84"
"Diamondbacks","234","6.4 %","22.2 %","0.29",".260",".313",".391",".704",".130","2.3",".321","0.4","0.0","-0.1","25","-4.0",".300","82"
"Twins","265","6.4 %","23.0 %","0.28",".231",".283",".417",".700",".186","2.7",".259","-0.3","0.2","-0.8","27","-5.9",".294","81"
"Mets","222","4.5 %","23.4 %","0.19",".257",".303",".379",".682",".121","2.8",".315","-0.5","-0.2","-0.2","22","-5.5",".291","82"
"Tigers","234","8.1 %","25.2 %","0.32",".240",".313",".346",".659",".106","2.6",".313","-0.2","0.1","-0.2","23","-6.3",".289","76"
"Brewers","252","9.1 %","26.6 %","0.34",".212",".293",".392",".685",".180","3.4",".259","0.0","0.2","-0.8","25","-7.2",".287","72"
"Indians","188","8.0 %","17.6 %","0.45",".247",".314",".341",".655",".094","2.9",".294","0.1","-0.2","-0.3","18","-5.4",".287","73"
"Rays","282","7.1 %","26.2 %","0.27",".219",".284",".359",".643",".141","5.4",".277","0.4","0.2","0.4","25","-10.5",".277","73"
"Cardinals","191","5.8 %","25.1 %","0.23",".230",".277",".371",".648",".140","2.4",".280","0.3","0.0","-0.6","17","-7.5",".274","69"
"Mariners","221","9.5 %","30.3 %","0.31",".182",".264",".323",".587",".141","2.5",".228","0.2","0.2","-0.6","15","-12.5",".255","58"
"Rangers","207","7.2 %","32.9 %","0.22",".174",".235",".310",".545",".136","5.2",".235","0.0","0.2","-0.4","11","-15.4",".234","35"
