"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","230","7.0 %","16.5 %","0.42",".290",".348",".556",".903",".266","4.3",".296","-0.2","-0.3","-0.1","39","10.3",".372","137"
"Cubs","230","14.8 %","23.9 %","0.62",".267",".373",".540",".913",".273","4.6",".302","0.2","-0.2","-0.6","39","10.2",".371","130"
"Red Sox","289","13.5 %","19.7 %","0.68",".285",".385",".485",".870",".201","3.4",".316","-0.1","-0.1","-0.5","48","11.4",".366","125"
"Rockies","240","8.8 %","22.5 %","0.39",".274",".339",".512",".851",".237","7.5",".320","0.1","0.0","0.5","37","6.9",".353","104"
"Royals","312","8.3 %","21.8 %","0.38",".268",".334",".496",".831",".229","7.3",".315","0.0","0.1","0.6","46","7.1",".346","114"
"Yankees","208","10.1 %","20.7 %","0.49",".251",".338",".443",".781",".191","3.8",".282","0.0","-0.2","0.1","29","2.4",".333","108"
"Padres","268","6.7 %","25.4 %","0.26",".266",".320",".477",".797",".212","5.6",".315","-0.5","-0.4","0.5","36","2.4",".330","105"
"Phillies","225","7.1 %","21.3 %","0.33",".284",".339",".441",".780",".157","3.3",".346","0.2","0.2","-0.4","30","1.9",".330","100"
"Dodgers","234","9.0 %","22.2 %","0.40",".263",".336",".434",".770",".171","4.3",".311","0.1","0.2","0.7","31","1.5",".328","105"
"Twins","258","7.8 %","18.2 %","0.43",".248",".314",".457",".770",".209","4.7",".266","-0.3","0.2","0.1","33","0.5",".322","100"
"Rays","259","8.1 %","15.8 %","0.51",".266",".332",".421",".753",".155","4.1",".294","0.5","0.1","0.0","33","0.3",".321","103"
"Giants","233","6.9 %","24.5 %","0.28",".263",".315",".441",".756",".178","5.1",".315","-0.1","0.2","-0.2","29","-0.3",".318","98"
"Reds","270","9.3 %","21.9 %","0.42",".210",".304",".441",".745",".231","6.0",".209","-0.5","-0.2","1.0","33","-1.3",".314","90"
"Diamondbacks","226","6.6 %","23.0 %","0.29",".237",".292",".469",".761",".232","4.5",".255","0.3","0.0","0.5","27","-1.1",".314","94"
"Angels","192","9.9 %","13.5 %","0.73",".247",".319",".412",".731",".165","4.9",".257","-0.1","-0.4","0.3","22","-1.7",".309","95"
"Rangers","195","12.3 %","22.1 %","0.56",".207",".309",".402",".712",".195","5.3",".235","0.4","0.2","0.3","22","-3.0",".302","78"
"Athletics","206","7.3 %","20.9 %","0.35",".250",".316",".378",".693",".128","5.7",".310","0.3","-0.3","0.3","22","-3.9",".298","88"
"Pirates","201","9.0 %","18.9 %","0.47",".242",".317",".382",".699",".140","5.5",".285","0.0","0.0","0.1","21","-3.9",".297","83"
"Orioles","219","5.9 %","21.5 %","0.28",".249",".300",".398",".698",".149","4.4",".295","0.1","0.0","0.3","23","-4.7",".295","80"
"Brewers","293","9.9 %","25.9 %","0.38",".243",".322",".359",".681",".116","3.1",".322","0.0","-0.1","0.0","30","-6.4",".295","79"
"Cardinals","262","8.8 %","22.1 %","0.40",".239",".314",".363",".677",".124","3.5",".288","0.1","0.0","0.4","27","-6.3",".292","80"
"Mariners","219","6.8 %","26.5 %","0.26",".222",".274",".419",".693",".197","2.5",".252","-0.2","0.2","-0.1","22","-5.9",".289","82"
"White Sox","298","6.7 %","31.2 %","0.22",".235",".296",".371",".668",".136","4.4",".326","0.2","0.1","-0.2","29","-8.7",".286","78"
"Tigers","187","7.0 %","25.1 %","0.28",".243",".299",".358",".658",".116","2.8",".311","0.1","0.1","-0.5","18","-6.0",".283","72"
"Braves","259","6.6 %","18.9 %","0.35",".231",".279",".370",".649",".139","4.2",".259","0.2","0.2","0.3","22","-10.6",".273","63"
"Nationals","253","5.9 %","26.5 %","0.22",".212",".271",".320",".591",".108","3.3",".266","0.1","0.1","-0.2","18","-14.0",".256","53"
"Indians","203","8.9 %","27.1 %","0.33",".196",".267",".310",".577",".114","1.2",".256","0.3","0.0","-1.2","14","-11.7",".253","49"
"Marlins","222","7.2 %","23.0 %","0.31",".203",".279",".244",".522",".041","2.2",".267","0.0","-0.3","-0.4","12","-15.6",".238","46"
"Blue Jays","256","7.0 %","25.4 %","0.28",".200",".256",".285",".541",".085","1.5",".262","-0.3","-0.2","-0.1","14","-18.7",".236","42"
"Mets","268","4.9 %","30.2 %","0.16",".190",".235",".290",".525",".099","2.9",".262","-0.4","-0.1","-0.6","12","-21.5",".227","40"
