"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Athletics","235","9.8 %","18.7 %","0.52",".308",".385",".567",".952",".260","4.0",".342","0.0","-0.3","-0.1","45","15.5",".396","154"
"Cardinals","280","15.4 %","15.4 %","1.00",".310",".421",".507",".927",".197","5.7",".341","0.4","0.1","0.2","53","17.8",".394","146"
"Astros","223","11.7 %","17.0 %","0.68",".281",".376",".526",".902",".245","3.2",".306","0.0","-0.1","-1.0","39","10.7",".376","139"
"Nationals","265","11.7 %","15.5 %","0.76",".303",".390",".452",".842",".149","4.6",".344","-0.2","-0.1","0.3","43","9.3",".361","121"
"Twins","183","6.6 %","27.9 %","0.24",".250",".311",".542",".853",".292","4.2",".286","-0.2","0.2","0.1","28","4.7",".350","117"
"Brewers","235","12.8 %","22.1 %","0.58",".270",".370",".440",".810",".170","3.7",".333","-0.1","0.0","0.0","35","5.4",".346","113"
"Orioles","219","8.2 %","16.9 %","0.49",".268",".344",".485",".829",".216","2.3",".279","0.1","0.1","-0.8","33","5.0",".346","115"
"Yankees","265","4.5 %","26.8 %","0.17",".271",".306",".526",".832",".255","3.6",".311","0.2","-0.1","0.3","38","4.9",".341","114"
"Phillies","249","14.5 %","23.7 %","0.61",".242",".355",".431",".786",".190","4.2",".303","0.1","0.2","-0.8","35","3.4",".336","106"
"Mariners","229","11.4 %","22.3 %","0.51",".226",".320",".457",".777",".231","7.1",".257","0.5","0.4","0.9","30","1.5",".327","108"
"Dodgers","258","11.6 %","29.5 %","0.39",".219",".319",".446",".765",".228","4.1",".277","0.1","0.3","0.1","33","0.1",".320","100"
"Reds","221","5.9 %","26.7 %","0.22",".254",".311",".433",".743",".179","5.6",".313","-0.2","-0.1","1.3","27","-1.0",".315","90"
"Rays","224","7.6 %","18.3 %","0.41",".265",".321",".426",".748",".162","4.3",".302","0.0","0.3","0.7","27","-1.2",".314","98"
"Marlins","257","6.6 %","24.9 %","0.27",".251",".313",".409",".721",".157","4.5",".313","-0.5","-0.2","0.0","30","-2.6",".308","93"
"Pirates","263","7.2 %","16.3 %","0.44",".268",".328",".396",".724",".128","6.1",".307","-0.2","0.0","0.0","30","-2.7",".308","89"
"Red Sox","190","7.9 %","20.5 %","0.38",".247",".309",".418",".726",".171","2.2",".283","-0.1","-0.1","-0.8","22","-2.0",".308","86"
"Tigers","225","5.3 %","28.4 %","0.19",".261",".302",".417",".719",".156","3.9",".340","0.0","-0.2","0.5","25","-3.0",".304","87"
"Giants","232","5.6 %","24.6 %","0.23",".248",".293",".430",".723",".182","4.0",".291","-0.9","0.1","-0.3","26","-3.4",".303","89"
"Cubs","221","10.9 %","22.2 %","0.49",".218",".309",".389",".698",".171","3.6",".243","0.3","-0.1","0.3","24","-3.9",".299","81"
"White Sox","216","4.2 %","25.0 %","0.17",".258",".300",".404",".705",".146","4.0",".326","0.3","0.2","0.1","23","-4.0",".299","86"
"Angels","236","10.6 %","21.2 %","0.50",".226",".314",".380",".693",".154","2.8",".263","0.1","0.1","-0.4","25","-4.4",".299","87"
"Braves","273","10.6 %","29.3 %","0.36",".192",".291",".389",".680",".197","6.1",".241","0.1","0.2","1.0","27","-7.0",".290","73"
"Rockies","255","7.5 %","22.4 %","0.33",".245",".303",".358",".661",".114","3.1",".298","0.1","0.0","-0.2","24","-7.7",".285","59"
"Blue Jays","220","9.1 %","26.4 %","0.34",".206",".282",".372",".654",".166","1.7",".254","-0.4","-0.1","-0.3","20","-7.4",".281","73"
"Indians","215","8.4 %","21.4 %","0.39",".210",".277",".385",".662",".174","4.9",".234","-0.3","-0.1","0.3","19","-7.8",".278","66"
"Royals","223","7.6 %","25.1 %","0.30",".221",".283",".333",".616",".113","3.2",".278","-0.1","0.0","0.1","18","-10.1",".268","61"
"Mets","231","6.5 %","20.8 %","0.31",".222",".283",".335",".618",".113","3.5",".269","-0.4","0.0","0.1","18","-10.9",".265","65"
"Diamondbacks","217","8.8 %","21.2 %","0.41",".199",".269",".332",".600",".133","4.0",".228","0.4","0.0","-0.1","16","-11.6",".258","54"
"Padres","198","9.1 %","26.3 %","0.35",".176",".256",".278",".535",".102","2.5",".225","-0.1","-0.2","0.1","11","-14.0",".238","43"
"Rangers","250","5.2 %","30.4 %","0.17",".188",".240",".308",".548",".120","4.1",".245","0.1","0.0","0.4","13","-18.3",".235","33"
