"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Cubs","213","13.1 %","18.3 %","0.72",".330",".420",".505",".925",".176","2.5",".387","0.1","-0.2","-0.6","40","13.6",".394","144"
"Dodgers","295","12.5 %","17.6 %","0.71",".289",".388",".557",".945",".268","2.8",".296","0.1","0.3","-0.4","55","18.1",".391","144"
"Mariners","235","10.6 %","22.6 %","0.47",".281",".362",".547",".909",".266","6.5",".312","-0.3","0.2","1.3","41","11.1",".375","139"
"Phillies","201","15.4 %","22.9 %","0.67",".269",".388",".527",".915",".257","4.4",".313","0.2","0.2","-0.3","34","8.9",".371","136"
"Braves","194","16.0 %","22.2 %","0.72",".255",".376",".441",".817",".186","4.3",".304","0.1","0.2","-0.6","30","5.1",".351","115"
"Diamondbacks","290","6.6 %","21.7 %","0.30",".280",".324",".526",".850",".246","5.4",".314","0.3","-0.2","1.1","44","7.0",".348","114"
"Rangers","217","12.9 %","25.8 %","0.50",".230",".332",".449",".781",".219","5.8",".270","0.1","0.2","-0.6","29","2.1",".331","97"
"Twins","193","8.8 %","22.3 %","0.40",".265",".358",".398",".755",".133","4.1",".347","-0.2","0.0","-0.3","25","1.1",".327","102"
"Nationals","189","6.9 %","30.7 %","0.22",".257",".323",".444",".767",".187","5.3",".346","0.2","0.0","1.1","25","0.8",".325","99"
"Mets","246","8.1 %","26.0 %","0.31",".275",".343",".401",".744",".126","5.5",".370","-0.3","-0.2","0.0","31","-0.3",".318","100"
"Cardinals","245","9.4 %","29.4 %","0.32",".222",".309",".440",".748",".218","4.7",".273","0.2","0.0","0.3","30","-0.9",".316","96"
"Brewers","258","12.4 %","23.6 %","0.52",".233",".333",".413",".746",".179","3.2",".275","0.1","-0.2","0.2","31","-1.3",".314","91"
"Pirates","175","16.6 %","18.3 %","0.91",".207",".353",".336",".688",".129","5.3",".245","0.1","-0.1","0.7","20","-1.8",".308","90"
"Yankees","228","13.6 %","28.5 %","0.48",".229",".342",".354",".696",".125","2.7",".309","0.0","-0.4","0.0","26","-2.6",".307","90"
"White Sox","195","9.7 %","23.6 %","0.41",".237",".320",".387",".707",".150","3.9",".289","0.2","-0.1","0.3","22","-2.3",".306","91"
"Marlins","255","5.1 %","22.4 %","0.23",".251",".303",".387",".690",".136","2.5",".302","-0.3","-0.5","-0.6","27","-5.3",".296","84"
"Royals","188","6.9 %","17.0 %","0.41",".237",".299",".385",".684",".148","7.8",".272","-0.1","0.1","0.5","19","-4.6",".292","79"
"Red Sox","268","7.5 %","21.6 %","0.34",".233",".295",".384",".678",".151","5.1",".276","-0.1","0.0","0.6","27","-6.8",".290","74"
"Astros","251","8.4 %","19.9 %","0.42",".235",".304",".363",".667",".128","2.0",".275","-0.3","-0.2","-1.7","25","-6.7",".289","82"
"Padres","241","7.9 %","23.2 %","0.34",".237",".299",".384",".682",".146","3.4",".285","0.3","-0.1","0.3","24","-6.5",".289","78"
"Athletics","241","8.3 %","17.8 %","0.47",".208",".286",".389",".675",".181","3.8",".209","0.2","-0.4","0.3","24","-6.8",".287","80"
"Orioles","220","6.8 %","26.8 %","0.25",".234",".295",".373",".669",".139","4.7",".299","0.0","-0.2","0.1","21","-6.5",".286","73"
"Blue Jays","245","6.9 %","22.0 %","0.31",".202",".266",".350",".616",".148","3.2",".233","-0.2","0.1","-0.5","19","-11.7",".265","62"
"Rays","253","7.9 %","31.2 %","0.25",".211",".282",".316",".598",".105","4.7",".297","0.2","0.1","1.5","19","-12.9",".261","63"
"Giants","243","4.5 %","24.7 %","0.18",".204",".259",".327",".587",".124","1.9",".255","-0.4","0.0","-0.3","17","-13.8",".254","57"
"Rockies","250","5.2 %","28.8 %","0.18",".197",".245",".283",".528",".086","3.0",".275","0.2","-0.1","-0.8","12","-19.3",".230","23"
"Tigers","259","9.7 %","30.5 %","0.32",".161",".251",".248",".499",".087","3.1",".233","-0.9","0.3","-0.1","11","-21.4",".224","33"
"Reds","172","8.7 %","27.3 %","0.32",".160",".238",".263",".501",".103","1.4",".208","-0.4","-0.3","-0.5","7","-14.3",".224","31"
"Angels","208","6.3 %","14.4 %","0.43",".178",".240",".241",".481",".063","2.6",".205","-0.2","-0.4","0.1","7","-19.5",".211","30"
"Indians","173","9.2 %","33.5 %","0.28",".160",".237",".231",".468",".071","1.3",".237","0.1","0.0","-0.1","5","-16.6",".209","20"
