"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Yankees","280","10.4 %","17.1 %","0.60",".321",".396",".679","1.075",".357","5.2",".320","0.8","0.0","0.4","64","28.3",".437","178"
"Astros","242","11.6 %","16.5 %","0.70",".325",".401",".646","1.047",".321","6.6",".335","-0.1","-0.3","0.3","52","21.9",".425","173"
"Rockies","185","7.0 %","16.2 %","0.43",".304",".351",".556",".907",".251","2.7",".313","0.0","-0.2","-1.0","32","8.8",".375","118"
"Cubs","261","7.3 %","17.2 %","0.42",".300",".358",".532",".890",".232","4.4",".322","0.4","-0.1","-0.2","44","11.4",".370","128"
"Diamondbacks","231","13.4 %","18.2 %","0.74",".281",".389",".484",".873",".203","6.2",".315","0.3","0.0","0.2","39","9.6",".368","125"
"Mets","305","7.9 %","21.6 %","0.36",".278",".349",".535",".883",".256","3.4",".309","-0.6","-0.1","-0.2","51","12.3",".367","132"
"Braves","280","10.4 %","23.2 %","0.45",".285",".362",".510",".872",".225","5.0",".335","0.2","0.4","0.2","46","11.0",".365","124"
"Rays","245","12.2 %","16.7 %","0.73",".275",".369",".493",".862",".218","3.9",".289","-0.1","0.3","0.7","40","9.1",".363","132"
"Blue Jays","278","6.5 %","27.7 %","0.23",".276",".326",".541",".867",".265","2.9",".331","-0.4","0.0","-0.4","44","9.3",".359","125"
"Twins","275","6.9 %","23.6 %","0.29",".271",".324",".494",".818",".223","3.5",".305","-0.3","0.3","0.1","39","4.8",".340","111"
"Athletics","227","12.3 %","23.3 %","0.53",".243",".354",".434",".788",".190","4.1",".285","0.3","-0.1","-0.6","32","3.5",".338","113"
"Tigers","281","9.6 %","19.9 %","0.48",".280",".350",".420",".770",".140","6.2",".344","0.0","-0.1","0.6","38","2.4",".330","104"
"Dodgers","250","7.2 %","22.8 %","0.32",".260",".320",".458",".778",".198","3.4",".311","0.2","0.3","0.1","33","1.8",".328","103"
"Phillies","294","9.5 %","19.4 %","0.49",".267",".342",".431",".774",".164","4.1",".308","0.3","0.2","1.0","39","2.0",".328","100"
"Reds","221","9.0 %","19.9 %","0.45",".267",".344",".419",".763",".152","3.7",".307","-0.5","-0.2","-0.9","29","1.0",".325","93"
"White Sox","340","6.5 %","24.4 %","0.27",".285",".339",".421",".760",".136","3.9",".368","0.4","-0.1","-0.9","44","1.2",".324","104"
"Padres","228","7.0 %","27.6 %","0.25",".272",".324",".437",".761",".165","3.0",".346","0.1","-0.1","-0.2","29","0.5",".322","99"
"Indians","239","6.7 %","18.4 %","0.36",".256",".307",".470",".776",".214","4.1",".275","-0.2","-0.1","0.5","30","0.3",".322","95"
"Orioles","259","9.3 %","19.3 %","0.48",".241",".317",".414",".730",".172","4.2",".274","0.2","0.2","-0.2","31","-1.8",".312","91"
"Nationals","232","10.3 %","17.7 %","0.59",".236",".333",".392",".725",".156","5.9",".261","-0.1","-0.1","0.4","27","-1.7",".311","88"
"Pirates","226","9.3 %","18.1 %","0.51",".238",".313",".396",".709",".158","5.6",".266","0.0","0.0","0.9","25","-3.0",".305","87"
"Marlins","264","7.2 %","22.0 %","0.33",".245",".312",".409",".721",".165","4.5",".297","-0.5","-0.4","-0.4","30","-3.6",".304","89"
"Red Sox","299","8.4 %","24.1 %","0.35",".234",".301",".414",".715",".179","2.1",".275","-0.3","0.0","0.1","33","-4.4",".303","82"
"Royals","223","5.8 %","22.0 %","0.27",".240",".285",".423",".708",".183","3.3",".268","-0.2","-0.1","-0.4","24","-4.2",".298","82"
"Brewers","268","5.6 %","27.2 %","0.21",".252",".299",".398",".697",".146","3.2",".320","0.0","0.1","-0.4","28","-5.7",".295","79"
"Rangers","213","6.1 %","26.8 %","0.23",".225",".280",".403",".683",".178","5.6",".280","0.2","0.0","-0.1","21","-6.2",".286","67"
"Giants","261","5.4 %","21.1 %","0.25",".249",".295",".376",".671",".127","2.7",".306","-0.2","0.3","0.1","25","-7.7",".286","78"
"Angels","178","9.0 %","31.5 %","0.29",".194",".270",".363",".632",".169","1.8",".245","0.0","0.0","-0.3","15","-7.5",".271","69"
"Cardinals","217","6.5 %","27.6 %","0.23",".218",".279",".320",".599",".102","3.6",".291","0.5","0.0","0.7","16","-10.9",".262","61"
"Mariners","171","11.7 %","34.5 %","0.34",".134",".241",".255",".496",".121","6.2",".186","0.4","0.2","0.7","7","-14.1",".225","39"
