"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Pirates","298","5.0 %","15.1 %","0.33",".352",".389",".571",".961",".220","3.4",".380","-0.2","0.0","-2.2","58","20.4",".399","149"
"Twins","256","8.6 %","25.0 %","0.34",".316",".383",".548",".931",".232","2.2",".377","-0.3","0.1","-0.2","47","14.7",".386","143"
"Phillies","242","7.4 %","21.9 %","0.34",".314",".365",".541",".906",".227","6.5",".375","0.0","0.2","0.7","42","11.2",".374","131"
"Astros","248","12.5 %","20.6 %","0.61",".287",".385",".498",".882",".211","3.7",".336","-0.1","-0.3","-1.0","42","10.9",".371","136"
"Athletics","303","11.6 %","20.1 %","0.57",".283",".384",".488",".872",".205","4.5",".332","0.0","-0.4","-0.7","51","13.1",".370","136"
"Rays","228","7.5 %","25.0 %","0.30",".293",".351",".514",".865",".221","4.9",".355","0.1","0.3","0.0","37","8.0",".360","129"
"Braves","235","12.8 %","21.7 %","0.59",".281",".380",".462",".843",".181","6.0",".347","0.3","0.2","1.1","37","7.5",".357","119"
"Nationals","182","6.0 %","17.0 %","0.35",".264",".330",".528",".857",".264","6.9",".276","-0.3","-0.2","0.3","28","5.4",".354","113"
"Red Sox","219","9.6 %","18.3 %","0.53",".247",".332",".505",".837",".258","3.7",".250","-0.2","0.0","-0.3","33","5.1",".347","113"
"Yankees","229","8.3 %","22.7 %","0.37",".237",".306",".498",".803",".261","4.3",".241","0.1","0.0","0.3","31","2.6",".333","108"
"Indians","226","8.4 %","20.8 %","0.40",".258",".333",".455",".788",".197","2.8",".290","-0.5","-0.2","-0.4","31","2.5",".333","103"
"Dodgers","285","9.1 %","22.1 %","0.41",".261",".333",".470",".804",".209","3.9",".302","0.1","0.2","0.3","39","3.1",".332","108"
"Cardinals","266","9.0 %","22.9 %","0.39",".264",".340",".438",".778",".174","5.7",".321","0.3","0.1","0.0","36","2.6",".331","106"
"Rockies","265","6.0 %","24.2 %","0.25",".280",".326",".461",".787",".181","4.4",".341","0.4","0.0","-0.4","36","2.3",".330","88"
"Cubs","219","6.4 %","25.1 %","0.25",".251",".313",".467",".781",".216","3.2",".299","0.4","-0.2","-0.4","29","1.6",".328","105"
"Mets","236","7.2 %","16.9 %","0.43",".254",".321",".441",".762",".188","2.9",".274","-0.5","0.0","-0.6","30","0.7",".323","103"
"Royals","266","7.5 %","18.4 %","0.41",".273",".336",".420",".756",".147","3.3",".310","-0.1","0.0","-0.7","34","0.4",".322","98"
"Diamondbacks","231","6.5 %","21.2 %","0.31",".267",".325",".438",".763",".171","5.5",".314","0.4","0.0","0.5","29","0.2",".321","95"
"Orioles","191","5.8 %","20.9 %","0.28",".277",".325",".428",".752",".150","5.5",".321","0.0","0.0","0.9","24","-0.4",".318","96"
"Blue Jays","180","10.6 %","24.4 %","0.43",".238",".318",".381",".700",".144","2.3",".291","-0.3","0.0","0.1","20","-2.6",".303","90"
"Reds","308","7.1 %","23.7 %","0.30",".206",".277",".419",".696",".213","5.1",".220","-0.4","-0.2","0.0","31","-7.5",".292","75"
"Padres","249","5.6 %","24.5 %","0.23",".226",".278",".413",".691",".187","5.6",".272","-0.1","-0.1","-0.6","25","-6.3",".291","79"
"Angels","209","12.0 %","21.5 %","0.56",".220",".316",".363",".678",".143","3.5",".263","0.0","-0.2","0.1","21","-5.3",".291","82"
"Mariners","266","10.9 %","22.6 %","0.48",".213",".313",".335",".648",".122","4.0",".261","0.6","0.4","-1.1","26","-7.5",".287","80"
"Giants","223","4.5 %","24.7 %","0.18",".245",".287",".375",".662",".130","2.7",".302","-0.2","0.0","0.1","21","-7.2",".282","76"
"Tigers","209","2.9 %","32.5 %","0.09",".245",".268",".405",".673",".160","4.1",".336","-0.1","-0.4","-0.1","19","-7.0",".281","71"
"White Sox","227","5.3 %","26.0 %","0.20",".249",".302",".325",".628",".077","2.0",".338","0.3","0.1","-0.6","20","-8.7",".276","69"
"Brewers","223","9.0 %","27.4 %","0.33",".224",".296",".338",".634",".114","3.8",".304","0.0","0.0","0.1","19","-8.7",".275","66"
"Rangers","217","7.8 %","24.0 %","0.33",".213",".278",".335",".613",".122","3.8",".273","0.1","-0.2","0.1","17","-10.6",".264","52"
"Marlins","254","8.7 %","33.5 %","0.26",".183",".254",".345",".599",".162","3.3",".237","-0.3","-0.3","-0.1","18","-14.2",".255","58"
