"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Braves","245","8.6 %","20.4 %","0.42",".327",".395",".604",".999",".276","3.7",".366","0.0","0.2","-0.6","50","19.2",".411","152"
"Rockies","274","7.3 %","18.6 %","0.39",".363",".412",".571",".983",".208","3.9",".420","0.1","-0.1","-0.8","55","20.7",".407","138"
"Padres","262","10.3 %","21.8 %","0.47",".332",".402",".565",".967",".233","7.2",".404","-0.1","-0.1","0.4","51","18.1",".400","150"
"Indians","293","9.9 %","17.1 %","0.58",".304",".373",".535",".908",".231","6.8",".332","0.4","0.1","1.4","51","14.6",".377","133"
"Yankees","275","12.4 %","20.7 %","0.60",".291",".382",".511",".892",".219","3.8",".327","-0.2","0.2","0.0","48","13.0",".375","136"
"Nationals","217","8.3 %","18.4 %","0.45",".286",".346",".573",".919",".286","6.4",".286","0.0","-0.1","0.9","37","10.0",".373","124"
"Red Sox","288","9.7 %","19.8 %","0.49",".307",".380",".500",".880",".193","5.3",".356","-0.4","0.2","0.4","49","12.5",".370","128"
"Athletics","270","8.9 %","15.9 %","0.56",".278",".356",".535",".891",".257","5.0",".296","0.2","-0.1","0.1","46","11.7",".370","136"
"Dodgers","266","9.8 %","19.5 %","0.50",".286",".361",".526",".887",".239","3.6",".314","0.0","0.1","0.5","45","11.1",".368","129"
"Pirates","195","5.1 %","14.9 %","0.34",".311",".351",".539",".889",".228","5.6",".345","-0.1","0.0","-0.3","32","7.1",".362","127"
"Astros","266","10.9 %","19.9 %","0.55",".270",".357",".485",".842",".215","3.1",".302","-0.1","0.0","0.2","42","8.3",".356","127"
"Angels","290","8.3 %","18.3 %","0.45",".284",".346",".514",".860",".230","3.5",".303","-0.1","0.0","0.0","45","8.9",".356","125"
"Mets","274","9.9 %","18.6 %","0.53",".278",".361",".456",".818",".178","4.7",".319","-0.5","-0.2","1.4","41","6.6",".348","119"
"White Sox","188","5.3 %","26.1 %","0.20",".290",".335",".483",".818",".193","4.2",".361","0.1","0.0","-0.3","28","3.9",".344","117"
"Diamondbacks","250","8.8 %","21.2 %","0.42",".269",".345",".466",".811",".196","4.6",".308","0.5","0.0","0.7","36","4.3",".340","107"
"Reds","258","8.5 %","23.3 %","0.37",".251",".335",".466",".801",".215","4.6",".292","-0.4","-0.1","-0.4","36","3.7",".336","107"
"Blue Jays","263","9.1 %","25.1 %","0.36",".230",".300",".468",".768",".238","3.3",".248","0.0","0.0","-0.4","33","0.0",".320","99"
"Mariners","267","8.2 %","25.5 %","0.32",".250",".322",".424",".746",".174","4.3",".307","0.2","0.2","-0.4","33","-0.8",".317","100"
"Rangers","259","9.3 %","27.8 %","0.33",".228",".305",".431",".736",".203","5.4",".285","-0.2","0.2","0.6","31","-1.9",".311","84"
"Cardinals","276","8.7 %","22.5 %","0.39",".225",".299",".402",".701",".176","4.8",".253","0.1","0.0","1.2","29","-5.4",".297","83"
"Phillies","223","10.8 %","24.2 %","0.44",".218",".309",".368",".677",".150","4.0",".263","0.2","0.2","0.0","23","-4.9",".294","78"
"Twins","288","8.3 %","21.5 %","0.39",".232",".307",".382",".689",".151","0.9",".271","-0.4","0.1","-0.6","30","-6.6",".293","80"
"Brewers","261","9.6 %","19.9 %","0.48",".220",".308",".352",".660",".132","3.5",".247","-0.1","-0.2","0.7","26","-7.1",".288","74"
"Giants","252","8.3 %","23.8 %","0.35",".231",".295",".382",".677",".151","5.1",".282","0.0","0.2","-0.2","25","-6.9",".288","78"
"Cubs","212","5.7 %","27.4 %","0.21",".231",".278",".400",".678",".169","4.4",".285","0.2","-0.1","0.3","20","-6.6",".284","73"
"Royals","259","5.0 %","20.1 %","0.25",".246",".284",".383",".667",".138","5.1",".283","-0.7","0.0","1.1","24","-8.3",".283","71"
"Marlins","265","4.5 %","23.8 %","0.19",".243",".292",".352",".644",".109","1.8",".307","-0.3","-0.5","-0.8","24","-9.8",".277","72"
"Rays","248","6.5 %","25.0 %","0.26",".211",".267",".346",".614",".136","5.6",".265","0.3","0.2","0.3","19","-12.1",".263","64"
"Tigers","176","5.1 %","30.7 %","0.17",".207",".251",".354",".605",".146","4.8",".280","-0.2","0.0","-0.7","13","-9.7",".256","55"
"Orioles","259","7.7 %","24.3 %","0.32",".202",".268",".279",".547",".077","4.2",".256","-0.2","0.0","0.2","15","-17.6",".241","44"
