"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","113","294","16","49","47","4","9.5 %","19.0 %",".270",".316",".293",".365",".564",".378","139","0.9","15.9","1.9","2.7"
"Pirates","82","252","13","45","42","1","4.4 %","15.1 %",".237",".383",".358",".391",".595",".409","155","-1.0","17.0","0.3","2.5"
"Twins","104","297","16","53","51","0","7.7 %","23.9 %",".213",".383",".321",".380",".534",".381","139","-0.3","14.5","-2.9","2.1"
"Astros","98","289","11","47","45","1","11.4 %","21.5 %",".210",".331",".282",".372",".492",".363","131","-1.3","10.1","-0.6","1.9"
"Phillies","90","234","9","36","35","4","6.8 %","22.6 %",".234",".357",".299",".348",".533",".362","124","0.8","7.9","2.7","1.8"
"Diamondbacks","98","237","11","42","40","3","6.3 %","22.4 %",".228",".344",".293",".350",".521",".362","121","1.1","7.3","2.9","1.7"
"Braves","88","233","8","42","38","5","13.3 %","21.0 %",".187",".317",".268",".373",".455",".352","117","1.4","6.3","1.7","1.5"
"Rays","101","267","12","42","41","4","7.1 %","25.1 %",".206",".333",".276",".337",".481",".343","117","0.6","6.5","-1.2","1.4"
"Indians","101","271","11","35","35","5","10.7 %","19.6 %",".208",".297",".268",".356",".476",".350","115","-1.2","3.9","1.2","1.4"
"Athletics","86","248","7","30","30","2","11.7 %","21.4 %",".177",".293",".244",".356",".421",".335","112","-1.0","2.9","1.7","1.3"
"Cubs","103","257","10","31","30","4","7.8 %","25.3 %",".205",".305",".249",".325",".454",".329","103","-0.4","0.6","2.7","1.1"
"Red Sox","85","219","12","32","31","1","9.6 %","18.3 %",".258",".250",".247",".332",".505",".347","113","-0.6","2.6","1.2","1.1"
"Mets","100","279","10","36","35","0","7.9 %","18.6 %",".183",".291",".259",".329",".442",".328","106","-1.0","1.1","0.8","1.1"
"Rockies","114","273","12","37","37","2","4.4 %","24.9 %",".232",".350",".291",".327",".524",".351","101","0.2","0.6","0.8","1.0"
"Cardinals","100","251","6","30","27","7","8.0 %","23.5 %",".159",".307",".247",".315",".405",".308","92","0.8","-2.3","3.5","0.9"
"Padres","107","263","9","31","30","4","7.2 %","22.4 %",".192",".297",".251",".313",".444",".319","97","-0.8","-1.9","2.8","0.9"
"Nationals","87","215","10","34","33","3","5.6 %","20.0 %",".241",".268",".246",".307",".487",".329","98","0.0","-0.9","1.4","0.7"
"Royals","80","227","7","30","29","4","7.9 %","18.5 %",".154",".303",".269",".336",".423",".322","98","-0.8","-1.4","-0.8","0.6"
"Yankees","84","225","12","25","24","1","8.0 %","23.6 %",".216",".243",".225",".293",".441",".309","92","0.2","-2.3","-0.2","0.5"
"Orioles","89","229","7","33","32","7","4.8 %","20.1 %",".142",".315",".275",".314",".417",".309","90","0.8","-2.3","-2.3","0.3"
"Angels","86","209","5","24","23","3","12.0 %","21.5 %",".143",".263",".220",".316",".363",".291","82","-0.1","-5.0","-0.3","0.2"
"White Sox","103","269","2","26","23","0","7.4 %","24.9 %",".083",".345",".256",".322",".339",".291","80","-0.1","-7.2","-0.7","0.2"
"Blue Jays","89","214","8","20","19","1","9.8 %","26.2 %",".157",".273",".225",".300",".382",".294","82","-0.3","-5.2","-1.2","0.1"
"Mariners","97","263","4","25","21","4","10.3 %","21.3 %",".105",".265",".214",".309",".319",".280","75","-0.1","-8.7","-0.4","0.0"
"Giants","93","214","7","19","18","1","3.7 %","22.9 %",".149",".272",".233",".271",".381",".276","72","0.3","-7.9","1.2","0.0"
"Tigers","96","244","7","24","24","2","2.5 %","32.4 %",".155",".340",".249",".267",".403",".280","70","-0.7","-10.1","-0.4","-0.2"
"Brewers","103","225","5","16","16","3","8.9 %","32.0 %",".118",".291",".207",".280",".325",".263","58","0.2","-12.7","2.8","-0.2"
"Reds","116","302","13","33","33","2","7.6 %","25.5 %",".187",".222",".198",".268",".385",".276","65","-1.1","-15.2","2.1","-0.3"
"Rangers","96","257","6","27","26","1","7.8 %","23.7 %",".146",".286",".232",".293",".378",".285","67","-0.1","-11.4","-2.5","-0.5"
"Marlins","84","217","8","18","18","1","7.8 %","34.6 %",".146",".250",".187",".250",".333",".249","54","-0.9","-14.4","-0.2","-0.7"
