"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","95","254","15","51","49","1","7.1 %","16.9 %",".258",".356",".335",".379",".592",".401","150","-0.3","15.7","1.0","2.5"
"Blue Jays","98","272","16","44","44","2","11.8 %","19.1 %",".288",".294",".280",".365",".568",".384","143","0.1","15.0","-1.3","2.3"
"Giants","90","246","11","47","46","0","8.5 %","20.7 %",".247",".352",".306",".371",".553",".382","140","-0.4","12.5","1.7","2.2"
"Yankees","95","261","12","52","51","1","9.6 %","23.8 %",".227",".363",".300",".367",".528",".373","133","-0.5","10.5","1.1","2.0"
"Cubs","80","240","12","34","34","0","7.9 %","25.8 %",".252",".347",".284",".350",".537",".369","129","0.0","8.8","2.0","1.8"
"Twins","84","247","14","40","37","2","5.3 %","19.8 %",".259",".331",".302",".341",".560",".373","133","-0.5","9.9","-0.2","1.8"
"Athletics","85","241","9","39","34","1","11.6 %","21.6 %",".201",".295",".254",".349",".455",".342","117","-0.1","5.0","0.4","1.4"
"Rays","104","273","9","37","34","8","8.8 %","24.2 %",".184",".316",".257",".330",".441",".327","107","1.2","3.6","0.0","1.3"
"Pirates","108","266","10","40","40","2","4.9 %","16.9 %",".201",".325",".299",".338",".500",".348","116","-0.8","4.7","-1.7","1.1"
"Braves","89","223","11","32","31","3","8.1 %","25.1 %",".243",".319",".267",".333",".510",".346","110","0.2","3.1","1.2","1.1"
"Phillies","88","240","6","36","33","5","9.6 %","21.3 %",".137",".331",".274",".347",".410",".326","99","0.7","0.2","3.4","1.1"
"Cardinals","92","235","11","30","29","1","7.7 %","24.7 %",".210",".308",".262",".321",".472",".331","106","-0.4","1.3","1.0","1.0"
"White Sox","75","196","9","28","28","1","5.1 %","26.5 %",".207",".352",".291",".328",".497",".342","116","0.6","4.4","-2.3","0.9"
"Astros","75","194","6","29","28","3","8.8 %","17.5 %",".191",".281",".254",".325",".445",".323","105","0.3","1.4","0.4","0.8"
"Dodgers","86","236","5","30","30","0","8.9 %","23.3 %",".141",".313",".249",".330",".390",".312","96","0.0","-1.3","2.2","0.8"
"Nationals","87","240","8","22","21","5","11.3 %","17.9 %",".180",".284",".252",".350",".432",".332","101","-0.4","-0.2","0.9","0.8"
"Indians","68","195","4","23","20","2","9.2 %","15.4 %",".145",".314",".279",".351",".424",".330","101","-0.6","-0.5","0.7","0.7"
"Angels","94","231","10","26","26","1","8.2 %","21.2 %",".187",".272",".244",".312",".431",".315","97","-0.8","-1.5","-0.1","0.6"
"Tigers","91","243","7","36","35","2","7.0 %","23.5 %",".155",".331",".269",".331",".425",".322","99","-0.2","-0.7","-2.7","0.5"
"Diamondbacks","77","192","5","24","23","1","6.8 %","22.9 %",".132",".323",".264",".319",".397",".304","85","0.4","-3.6","2.6","0.5"
"Mets","75","186","5","19","19","2","5.4 %","21.5 %",".135",".325",".271",".324",".406",".311","95","-1.1","-2.5","0.5","0.4"
"Padres","103","265","11","30","30","2","5.7 %","26.4 %",".176",".285",".238",".285",".414",".294","81","0.1","-6.9","2.2","0.4"
"Brewers","106","266","11","24","23","6","9.8 %","25.9 %",".195",".237",".203",".297",".398",".290","77","0.8","-7.6","2.9","0.4"
"Orioles","90","229","9","32","31","1","8.7 %","30.6 %",".182",".331",".246",".323",".429",".321","97","-0.9","-1.8","-2.7","0.3"
"Reds","88","218","7","23","22","3","4.1 %","21.1 %",".139",".302",".259",".309",".398",".301","82","-0.2","-5.7","1.8","0.3"
"Marlins","92","227","3","20","19","0","6.2 %","26.4 %",".119",".351",".262",".313",".381",".298","86","-1.5","-5.8","1.2","0.3"
"Royals","101","275","5","32","28","4","8.0 %","22.2 %",".126",".311",".251",".315",".377",".297","81","-1.0","-7.8","0.7","0.3"
"Mariners","82","214","10","19","18","4","9.3 %","29.4 %",".171",".256",".212",".285",".383",".284","78","-1.1","-7.0","-1.4","-0.1"
"Rangers","82","214","7","25","23","6","6.5 %","29.9 %",".166",".286",".223",".274",".389",".279","64","0.5","-9.7","-0.6","-0.3"
"Rockies","75","184","3","20","18","1","6.0 %","26.1 %",".111",".317",".240",".286",".351",".274","51","0.2","-12.1","0.3","-0.6"
