"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","98","293","12","55","54","6","13.3 %","18.1 %",".195",".351",".313",".405",".508",".383","137","0.5","14.2","-0.1","2.4"
"Astros","83","241","12","39","38","2","7.1 %","17.4 %",".245",".299",".287",".340",".532",".359","128","-0.6","8.0","0.2","1.6"
"Cubs","69","191","11","40","40","1","11.5 %","23.6 %",".284",".306",".278",".358",".562",".372","130","-0.3","7.1","0.8","1.4"
"Diamondbacks","72","189","11","32","31","2","6.9 %","20.1 %",".266",".283",".272",".317",".538",".348","116","0.6","4.1","2.3","1.2"
"Dodgers","87","236","8","29","29","3","8.9 %","20.3 %",".166",".288",".251",".323",".417",".317","98","0.7","-0.2","2.8","1.0"
"Royals","94","265","7","37","37","7","8.7 %","23.8 %",".199",".302",".246",".314",".445",".319","96","0.5","-1.2","1.2","0.9"
"Reds","108","280","15","34","32","10","11.1 %","23.2 %",".218",".232",".218",".315",".436",".314","90","0.2","-3.6","2.4","0.8"
"Padres","99","260","12","34","32","0","6.2 %","26.9 %",".204",".282",".238",".292",".443",".307","89","-0.9","-5.0","3.1","0.6"
"Phillies","75","186","3","27","25","2","7.5 %","24.7 %",".144",".353",".269",".335",".413",".319","94","0.1","-1.6","1.9","0.6"
"Angels","77","183","8","22","20","4","8.7 %","15.3 %",".201",".248",".244",".309",".445",".313","97","0.3","-0.5","0.0","0.6"
"Athletics","90","249","3","29","29","2","9.6 %","20.5 %",".113",".298",".239",".321",".351",".294","84","-0.2","-5.3","1.3","0.5"
"Cardinals","99","270","4","25","24","8","8.1 %","24.1 %",".094",".326",".250",".320",".344",".292","80","0.2","-7.1","2.7","0.4"
"Rays","73","221","4","22","22","2","8.1 %","16.7 %",".131",".277",".242",".312",".374",".296","86","0.3","-3.7","-0.7","0.3"
"Giants","93","222","5","28","28","1","6.3 %","24.8 %",".132",".320",".254",".299",".385",".291","80","0.1","-5.8","2.0","0.3"
"Brewers","105","278","8","29","28","2","8.3 %","22.3 %",".146",".272",".229",".295",".375",".287","73","-0.3","-10.3","3.3","0.2"
"Braves","103","269","6","32","31","0","8.2 %","16.7 %",".124",".278",".248",".310",".372",".290","75","-0.2","-9.3","1.9","0.1"
"Tigers","74","192","5","18","17","0","8.3 %","24.5 %",".131",".317",".251",".318",".383",".301","85","-0.4","-4.3","-1.2","0.1"
"Mariners","69","183","9","20","18","1","8.7 %","28.4 %",".211",".257",".217",".290",".428",".301","90","-0.3","-2.7","-2.5","0.1"
"Rockies","101","270","9","45","44","3","9.3 %","21.9 %",".183",".276",".238",".310",".421",".310","76","0.6","-8.3","0.7","0.1"
"Pirates","83","215","5","25","25","2","7.4 %","21.9 %",".138",".306",".251",".310",".390",".296","82","0.2","-4.9","-1.7","0.0"
"Yankees","69","170","5","16","13","0","10.6 %","24.1 %",".134",".272",".221",".314",".356",".294","81","-0.5","-4.8","-0.9","0.0"
"White Sox","106","261","8","27","27","2","7.7 %","29.9 %",".145",".295",".221",".299",".366",".287","79","-0.5","-7.5","-2.2","0.0"
"Orioles","67","186","4","17","14","2","7.0 %","24.2 %",".124",".320",".253",".308",".376",".292","78","0.4","-4.9","-2.2","-0.1"
"Rangers","77","202","7","27","27","3","11.9 %","21.8 %",".169",".236",".208",".302",".376",".290","70","0.6","-7.1","-1.0","-0.1"
"Twins","90","243","7","26","25","1","8.6 %","22.2 %",".172",".229",".200",".277",".372",".277","69","0.0","-9.8","-0.3","-0.1"
"Indians","73","170","6","16","15","3","8.2 %","25.3 %",".159",".231",".199",".263",".358",".265","58","-0.1","-9.6","1.5","-0.2"
"Blue Jays","89","226","4","16","14","0","8.4 %","26.1 %",".113",".275",".211",".277",".324",".260","59","-0.5","-12.7","-1.4","-0.6"
"Nationals","101","256","7","21","16","1","7.0 %","25.0 %",".107",".264",".215",".278",".322",".259","54","-0.3","-16.2","0.5","-0.7"
"Marlins","73","185","1","13","13","1","8.1 %","23.8 %",".037",".250",".186",".280",".224",".236","43","-0.7","-14.8","1.4","-0.7"
"Mets","109","271","4","15","15","3","6.3 %","29.2 %",".100",".256",".188",".244",".288",".231","43","-0.8","-21.4","1.0","-1.1"
