"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cubs","90","264","14","36","35","3","8.7 %","25.4 %",".257",".299",".261",".337",".517",".351","116","-0.4","5.2","1.0","1.4"
"White Sox","74","203","7","32","32","2","8.9 %","25.6 %",".179",".397",".307",".381",".486",".363","131","0.0","8.1","-1.5","1.3"
"Yankees","85","236","6","32","30","7","10.2 %","19.5 %",".141",".338",".282",".365",".422",".341","112","1.0","4.3","0.6","1.3"
"Rangers","89","271","13","44","43","5","10.3 %","23.6 %",".216",".321",".274",".351",".490",".352","112","0.9","4.9","-1.8","1.2"
"Braves","101","261","11","30","29","1","8.0 %","17.6 %",".212",".282",".263",".326",".475",".335","105","0.0","1.5","1.6","1.1"
"Phillies","85","218","8","30","27","1","9.2 %","23.4 %",".199",".295",".246",".336",".445",".332","104","0.3","1.1","2.6","1.0"
"Angels","89","226","7","37","35","5","11.9 %","13.3 %",".161",".272",".259",".353",".420",".331","109","-0.4","2.2","0.4","1.0"
"Red Sox","83","223","7","31","31","4","10.3 %","20.2 %",".182",".299",".260",".342",".443",".331","101","0.7","1.1","0.2","0.9"
"Brewers","91","223","7","33","31","6","9.9 %","22.9 %",".146",".312",".256",".336",".402",".316","94","0.6","-1.6","2.6","0.8"
"Twins","82","206","14","26","25","3","8.3 %","21.8 %",".279",".198",".213",".288",".492",".322","100","0.4","0.4","-0.4","0.7"
"Dodgers","96","256","6","31","30","4","8.6 %","21.9 %",".137",".286",".238",".307",".374",".293","83","0.9","-4.8","2.8","0.6"
"Cardinals","89","226","2","26","25","1","9.7 %","22.1 %",".091",".336",".259",".347",".350",".307","90","-0.8","-3.9","2.3","0.6"
"Rockies","90","232","11","39","37","2","9.1 %","22.8 %",".251",".262",".236",".311",".488",".332","90","0.5","-3.0","0.6","0.5"
"Diamondbacks","88","237","5","25","24","2","9.7 %","23.2 %",".181",".270",".219",".300",".400",".298","81","0.7","-5.5","2.8","0.5"
"Tigers","72","197","8","21","21","1","10.7 %","30.5 %",".183",".324",".246",".325",".429",".319","98","-0.9","-1.7","-1.1","0.4"
"Marlins","89","225","3","21","21","0","5.8 %","19.1 %",".079",".338",".277",".332",".356",".301","87","-1.5","-5.5","2.2","0.4"
"Royals","79","215","3","29","28","5","9.3 %","20.0 %",".137",".293",".242",".316",".379",".299","82","0.0","-4.9","1.0","0.4"
"Reds","103","265","8","30","30","3","10.2 %","21.9 %",".145",".287",".242",".330",".388",".306","83","-1.3","-7.3","2.0","0.3"
"Mets","90","227","3","21","20","1","10.1 %","26.4 %",".120",".326",".240",".323",".360",".295","84","-0.7","-5.6","0.8","0.2"
"Indians","84","223","11","21","20","6","7.2 %","25.6 %",".185",".244",".220",".277",".405",".287","72","1.1","-7.1","1.8","0.2"
"Astros","93","262","7","25","24","2","10.3 %","23.3 %",".139",".268",".222",".304",".361",".287","80","-0.6","-7.4","0.0","0.2"
"Rays","66","183","4","19","18","3","9.8 %","20.2 %",".152",".252",".213",".295",".366",".284","77","0.7","-4.5","-0.2","0.2"
"Blue Jays","75","194","7","22","20","1","6.2 %","24.7 %",".168",".280",".235",".281",".402",".289","79","-0.2","-5.7","-1.4","0.0"
"Giants","88","214","3","20","20","1","7.5 %","23.8 %",".102",".285",".224",".280",".327",".263","63","0.1","-10.5","2.0","-0.1"
"Orioles","83","230","4","18","16","3","6.5 %","27.0 %",".110",".326",".244",".303",".354",".283","73","0.6","-7.7","-2.6","-0.2"
"Nationals","93","239","10","19","19","4","8.8 %","25.9 %",".145",".246",".210",".290",".355",".279","67","0.7","-10.0","-0.1","-0.2"
"Mariners","92","232","4","26","24","2","12.9 %","28.4 %",".117",".271",".198",".310",".315",".280","76","0.2","-7.2","-3.7","-0.3"
"Padres","88","221","9","24","21","2","6.3 %","30.8 %",".158",".250",".202",".255",".360",".261","59","-0.1","-12.1","2.1","-0.3"
"Pirates","91","231","5","22","21","1","5.2 %","25.5 %",".121",".298",".233",".276",".353",".270","63","0.2","-11.1","-2.2","-0.6"
"Athletics","85","227","2","15","14","1","11.5 %","25.6 %",".081",".223",".167",".269",".247",".235","45","-0.9","-17.1","0.2","-0.9"
