"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Braves","105","296","14","45","43","3","11.1 %","19.6 %",".243",".283",".259",".354",".502",".358","119","0.3","7.7","2.1","1.9"
"Rays","103","316","15","43","40","1","7.6 %","22.2 %",".201",".330",".285",".352",".486",".353","124","-1.3","8.5","-0.4","1.9"
"Mariners","85","261","18","44","44","4","11.5 %","25.7 %",".269",".275",".251",".349",".520",".363","132","0.8","11.4","-2.5","1.8"
"Brewers","89","227","10","28","28","5","11.5 %","18.5 %",".198",".320",".289",".369",".487",".362","120","0.8","6.6","2.4","1.6"
"Angels","97","271","13","38","36","2","8.9 %","18.8 %",".225",".281",".263",".339",".488",".344","118","0.3","6.4","-0.3","1.5"
"Mets","81","220","12","29","28","4","8.2 %","20.5 %",".235",".300",".276",".347",".510",".357","125","0.2","7.2","1.1","1.5"
"Twins","80","236","16","35","35","1","7.2 %","22.9 %",".294",".276",".262",".326",".556",".361","126","-1.0","6.7","-0.5","1.4"
"Phillies","80","224","12","35","33","3","6.7 %","17.9 %",".257",".271",".262",".314",".519",".342","112","-0.1","3.1","3.7","1.4"
"Diamondbacks","86","241","15","38","38","4","10.4 %","17.4 %",".262",".234",".243",".324",".505",".343","110","0.2","3.4","2.0","1.3"
"Nationals","101","265","12","44","42","0","7.9 %","18.1 %",".246",".287",".267",".332",".513",".351","113","-1.6","2.5","1.3","1.2"
"Indians","87","216","17","37","35","3","7.4 %","19.4 %",".313",".214",".241",".293",".554",".340","108","0.4","2.7","1.4","1.1"
"Athletics","113","310","9","42","40","2","7.7 %","23.9 %",".152",".307",".253",".316",".404",".307","93","-0.6","-3.4","0.4","0.8"
"Pirates","100","260","10","34","34","5","5.8 %","25.4 %",".200",".321",".263",".310",".463",".322","97","0.7","-0.4","-1.1","0.7"
"Cubs","92","245","9","38","37","3","8.2 %","24.1 %",".193",".303",".252",".318",".445",".319","95","-0.7","-2.7","1.4","0.6"
"Rangers","114","326","6","45","40","8","7.4 %","23.9 %",".140",".349",".274",".335",".414",".319","89","0.2","-4.4","-1.6","0.5"
"Tigers","87","227","4","24","22","6","6.2 %","25.6 %",".129",".378",".287",".339",".416",".322","98","1.0","0.5","-3.7","0.5"
"Astros","88","247","8","29","29","5","9.7 %","14.6 %",".165",".227",".226",".301",".392",".290","81","0.3","-5.7","1.0","0.4"
"Yankees","83","236","9","29","29","0","11.4 %","22.0 %",".198",".257",".227",".314",".425",".312","93","-0.8","-3.0","-1.8","0.3"
"Marlins","104","279","5","33","33","2","6.5 %","26.2 %",".141",".331",".251",".309",".392",".299","87","-1.4","-6.3","0.6","0.3"
"Padres","88","219","7","24","23","5","8.2 %","24.7 %",".147",".285",".234",".300",".381",".288","77","0.6","-6.3","1.4","0.2"
"Dodgers","80","235","4","23","22","0","7.7 %","22.6 %",".142",".295",".236",".303",".377",".284","76","-0.2","-7.8","2.2","0.2"
"Red Sox","116","307","5","35","34","4","9.4 %","22.1 %",".136",".287",".232",".305",".368",".287","72","0.0","-11.2","1.2","0.1"
"Blue Jays","81","212","9","21","18","2","6.6 %","20.8 %",".184",".238",".219",".278",".403",".289","78","0.1","-5.9","-1.2","0.0"
"White Sox","88","220","7","21","20","0","5.0 %","19.5 %",".139",".272",".240",".282",".380",".280","75","0.0","-7.4","-1.0","-0.1"
"Orioles","89","238","10","23","22","5","5.9 %","26.9 %",".161",".278",".230",".291",".392",".292","78","-0.3","-7.0","-2.2","-0.1"
"Royals","79","208","5","16","16","5","4.3 %","30.8 %",".126",".295",".217",".251",".343",".253","52","0.8","-12.0","0.8","-0.4"
"Giants","83","217","3","16","16","3","7.4 %","24.9 %",".080",".273",".210",".272",".290",".244","51","0.5","-13.7","1.4","-0.5"
"Cardinals","85","208","5","14","12","4","6.7 %","30.3 %",".116",".260",".195",".249",".311",".240","47","0.5","-14.5","1.7","-0.6"
"Reds","71","185","2","12","11","3","8.1 %","19.5 %",".083",".258",".213",".276",".296",".242","42","0.0","-14.3","1.3","-0.7"
"Rockies","89","252","6","29","28","6","4.8 %","27.4 %",".142",".289",".224",".272",".366",".272","50","1.0","-16.2","0.8","-0.7"
