"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","87","253","24","51","49","2","10.7 %","17.8 %",".411",".291",".311",".394",".721",".447","184","0.6","28.5","1.9","3.7"
"Giants","94","248","11","45","43","2","7.7 %","19.0 %",".221",".361",".320",".378",".541",".381","140","-0.3","12.7","2.2","2.2"
"Red Sox","91","244","10","34","32","1","9.8 %","20.1 %",".265",".367",".316",".387",".581",".395","144","-1.7","12.1","0.3","2.0"
"Nationals","92","253","12","50","45","6","10.3 %","21.3 %",".245",".340",".295",".375",".541",".379","134","-0.3","10.9","1.7","2.0"
"Yankees","106","291","16","48","45","1","7.9 %","17.2 %",".242",".290",".279",".340",".521",".357","125","-0.1","9.0","0.3","1.9"
"Phillies","95","236","9","39","38","4","8.5 %","25.4 %",".220",".367",".293",".370",".512",".368","126","1.1","9.1","2.5","1.9"
"Indians","99","283","16","46","44","1","8.1 %","20.5 %",".242",".308",".281",".345",".523",".363","123","-1.2","7.2","1.9","1.9"
"Diamondbacks","107","277","19","41","40","1","6.9 %","18.1 %",".267",".278",".278",".330",".545",".359","119","-0.5","6.3","2.8","1.8"
"Twins","87","255","12","44","40","0","9.0 %","17.6 %",".224",".315",".291",".370",".516",".372","133","-1.0","9.9","-0.8","1.8"
"Rockies","82","241","13","38","38","3","10.0 %","17.4 %",".255",".323",".303",".380",".558",".387","126","0.4","8.2","1.5","1.7"
"Brewers","81","222","10","27","27","7","10.4 %","24.8 %",".210",".338",".277",".356",".487",".355","123","0.7","7.3","2.5","1.7"
"Mets","93","248","2","26","26","2","6.9 %","19.0 %",".085",".406",".327",".389",".413",".347","118","-0.2","5.7","0.6","1.4"
"Blue Jays","83","220","13","35","34","1","7.3 %","20.0 %",".286",".301",".281",".336",".567",".372","134","-1.6","7.9","-1.4","1.4"
"Cardinals","85","235","9","34","33","7","9.8 %","21.7 %",".169",".302",".261",".340",".430",".329","105","1.3","2.8","2.3","1.2"
"Astros","101","290","13","35","32","1","9.7 %","15.5 %",".202",".259",".253",".331",".455",".327","108","-0.4","2.6","-0.7","1.2"
"Angels","100","274","6","37","34","2","11.7 %","25.5 %",".135",".340",".257",".352",".392",".323","103","0.1","1.2","1.1","1.2"
"Braves","88","220","11","31","31","2","10.5 %","22.3 %",".210",".289",".256",".338",".467",".341","109","0.3","2.3","2.4","1.1"
"Athletics","85","232","12","31","31","1","4.3 %","30.6 %",".223",".328",".260",".303",".484",".327","106","-0.1","1.7","0.6","1.0"
"Pirates","85","238","9","36","30","4","7.6 %","16.4 %",".184",".297",".274",".349",".458",".342","112","-0.7","3.0","-1.3","0.9"
"Mariners","88","220","10","27","27","4","9.5 %","22.7 %",".205",".277",".246",".320",".451",".325","105","-1.1","0.3","-0.7","0.7"
"Reds","101","263","10","29","27","2","7.2 %","19.8 %",".179",".300",".267",".321",".446",".319","93","-0.4","-3.1","1.8","0.7"
"White Sox","95","255","7","38","35","0","5.5 %","21.2 %",".165",".328",".274",".316",".439",".318","99","-0.1","-0.4","-2.7","0.6"
"Padres","89","230","4","28","25","1","10.0 %","26.1 %",".123",".343",".255",".333",".377",".308","90","-1.0","-4.1","1.8","0.5"
"Rangers","98","270","9","28","26","5","9.6 %","23.0 %",".187",".292",".245",".322",".432",".319","89","1.0","-3.0","-2.1","0.4"
"Orioles","95","263","8","30","30","2","8.0 %","24.7 %",".174",".301",".246",".312",".419",".310","90","0.6","-2.8","-2.9","0.3"
"Marlins","88","219","3","23","22","1","7.3 %","27.4 %",".108",".321",".236",".307",".344",".284","76","-0.9","-8.0","0.7","0.0"
"Rays","92","239","5","21","19","2","9.6 %","20.1 %",".112",".267",".224",".305",".336",".279","74","-0.7","-8.6","-0.4","-0.1"
"Cubs","84","213","7","18","17","1","7.5 %","23.9 %",".162",".224",".194",".269",".356",".269","62","-0.2","-11.0","2.1","-0.2"
"Royals","67","173","5","15","15","1","6.9 %","19.7 %",".164",".225",".201",".266",".365",".267","63","0.0","-8.3","-1.0","-0.3"
"Tigers","82","220","4","15","13","1","2.3 %","34.1 %",".132",".336",".231",".255",".363",".258","56","-0.6","-13.0","-1.5","-0.7"
