"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Braves","105","299","14","57","55","1","8.7 %","19.7 %",".244",".384",".332",".407",".576",".407","151","-0.6","19.3","2.1","3.0"
"Padres","109","299","10","52","47","5","9.0 %","23.7 %",".223",".386",".309",".372",".532",".374","133","0.6","13.4","2.6","2.5"
"Red Sox","109","315","16","44","42","6","7.6 %","22.2 %",".234",".343",".297",".357",".531",".368","127","0.0","10.8","1.1","2.2"
"Rockies","92","274","10","57","55","1","6.6 %","20.4 %",".217",".429",".361",".410",".578",".407","137","-0.3","12.6","0.8","2.2"
"Indians","80","254","10","39","37","9","9.4 %","18.5 %",".220",".337",".300",".364",".520",".367","126","2.1","10.6","1.4","2.0"
"Athletics","79","234","11","41","36","3","8.5 %","17.1 %",".249",".297",".278",".355",".526",".367","133","0.7","10.7","0.4","1.9"
"Mets","87","239","8","33","33","6","10.0 %","20.9 %",".177",".320",".273",".356",".450",".342","116","0.5","5.3","1.1","1.4"
"Dodgers","82","222","11","27","27","1","11.7 %","20.7 %",".218",".279",".254",".342",".472",".341","111","0.2","3.2","2.6","1.3"
"Astros","83","242","7","30","29","3","14.5 %","21.9 %",".167",".290",".240",".355",".407",".331","110","0.0","2.9","-0.4","1.1"
"Angels","84","235","12","32","31","1","8.1 %","18.7 %",".251",".252",".246",".316",".498",".335","111","-0.4","2.9","-0.5","1.0"
"Yankees","79","231","9","33","32","1","10.4 %","22.5 %",".172",".331",".279",".355",".451",".342","113","-0.8","3.1","-1.1","1.0"
"Pirates","90","248","5","35","35","2","7.3 %","13.3 %",".201",".328",".299",".350",".500",".345","115","-0.8","4.2","-2.1","1.0"
"Blue Jays","97","271","13","42","41","3","7.7 %","21.4 %",".207",".281",".256",".314",".463",".325","102","0.4","1.1","-1.2","0.9"
"White Sox","76","187","8","25","22","0","8.0 %","24.6 %",".175",".350",".287",".348",".462",".344","117","0.0","4.0","-1.3","0.9"
"Twins","99","304","11","33","32","0","8.6 %","20.7 %",".173",".303",".261",".337",".434",".326","101","-0.8","-0.3","-1.3","0.9"
"Reds","92","217","12","29","28","0","8.8 %","24.0 %",".261",".254",".234",".315",".495",".336","107","-0.9","0.9","1.0","0.9"
"Diamondbacks","80","230","10","26","26","1","7.0 %","19.6 %",".207",".269",".250",".309",".457",".317","94","0.4","-1.7","2.8","0.8"
"Nationals","57","144","8","25","25","4","4.9 %","21.5 %",".215",".298",".277",".317",".492",".334","101","0.3","0.2","0.6","0.5"
"Mariners","102","282","6","35","30","2","9.2 %","22.3 %",".153",".295",".242",".317",".395",".303","91","-0.5","-3.6","-1.9","0.4"
"Marlins","81","218","5","23","21","1","4.6 %","22.5 %",".129",".345",".277",".321",".406",".311","93","-1.1","-3.4","0.7","0.4"
"Giants","86","215","4","23","21","2","9.3 %","23.3 %",".131",".307",".246",".313",".377",".296","83","0.0","-4.8","1.7","0.4"
"Cardinals","101","251","10","30","28","10","8.0 %","22.7 %",".179",".225",".205",".276",".384",".281","73","1.6","-7.6","3.2","0.4"
"Royals","94","268","8","36","33","6","6.7 %","24.3 %",".155",".291",".241",".292",".396",".292","78","0.8","-7.0","0.6","0.3"
"Rays","103","255","4","26","25","2","5.5 %","23.1 %",".110",".326",".257",".306",".367",".288","80","-0.3","-6.7","0.1","0.2"
"Rangers","96","269","6","33","31","9","11.5 %","27.5 %",".139",".283",".213",".317",".352",".291","71","1.4","-8.8","-0.1","0.1"
"Brewers","88","239","8","22","19","4","8.4 %","26.8 %",".146",".264",".216",".286",".362",".278","67","0.4","-10.1","2.5","0.0"
"Phillies","55","145","4","15","13","1","9.0 %","22.1 %",".141",".237",".203",".280",".344",".270","64","-0.1","-7.2","1.9","-0.1"
"Cubs","85","220","8","21","21","1","5.5 %","21.8 %",".144",".265",".234",".284",".378",".281","69","-0.3","-9.5","1.8","-0.1"
"Orioles","101","263","6","23","19","3","6.8 %","21.7 %",".121",".275",".229",".287",".350",".275","67","-0.5","-11.7","-2.2","-0.5"
"Tigers","88","215","2","17","15","1","7.9 %","27.9 %",".115",".248",".183",".252",".298",".239","43","-1.0","-16.8","-3.3","-1.2"
