"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"White Sox","60","165","6","24","24","2","9.1 %","21.8 %",".203",".412",".336",".415",".538",".398","155","0.4","12.1","-1.1","1.6"
"Rangers","88","269","13","44","42","5","10.4 %","24.9 %",".214",".333",".277",".354",".492",".355","113","0.8","5.3","-1.8","1.3"
"Cubs","92","255","13","32","31","3","8.2 %","24.3 %",".248",".289",".252",".333",".500",".345","112","-0.3","3.5","1.1","1.3"
"Diamondbacks","85","248","7","33","32","2","8.9 %","21.4 %",".223",".301",".255",".324",".477",".333","103","0.7","1.6","3.0","1.2"
"Braves","101","269","11","28","26","1","9.7 %","17.1 %",".189",".280",".261",".340",".450",".334","104","0.0","1.0","1.8","1.1"
"Yankees","82","237","5","36","33","9","9.7 %","23.6 %",".121",".361",".280",".359",".401",".330","105","1.3","2.6","0.4","1.1"
"Angels","88","222","10","36","35","3","9.9 %","13.5 %",".200",".256",".256",".336",".456",".334","111","-0.8","2.2","0.3","1.0"
"Red Sox","83","230","5","35","35","4","12.6 %","20.4 %",".157",".327",".269",".365",".426",".338","107","-0.2","1.8","0.2","1.0"
"Dodgers","99","258","8","36","35","1","10.5 %","20.9 %",".161",".279",".241",".324",".402",".311","96","0.3","-1.3","2.5","0.9"
"Cardinals","91","223","4","26","25","3","10.3 %","20.6 %",".109",".322",".260",".353",".370",".315","95","-0.3","-2.1","2.3","0.7"
"Astros","92","262","10","30","28","2","10.7 %","21.4 %",".179",".267",".236",".319",".415",".312","97","-1.0","-2.0","-0.1","0.7"
"Phillies","86","225","8","29","26","1","9.8 %","24.0 %",".201",".258",".216",".315",".418",".312","91","0.3","-2.9","2.4","0.7"
"Royals","68","190","3","28","26","2","9.5 %","20.5 %",".150",".326",".269",".337",".419",".316","95","-0.6","-1.9","1.0","0.6"
"Indians","81","229","10","25","24","7","8.3 %","23.1 %",".174",".262",".234",".302",".408",".300","80","1.8","-4.2","1.6","0.5"
"Brewers","90","216","7","31","29","6","7.9 %","24.1 %",".148",".299",".245",".315",".393",".301","84","0.6","-4.2","2.5","0.5"
"Rockies","85","232","9","37","35","1","8.6 %","20.3 %",".245",".273",".245",".316",".490",".331","89","0.3","-3.3","0.8","0.5"
"Mets","93","230","3","21","20","1","10.9 %","25.7 %",".110",".331",".245",".336",".355",".301","88","-0.7","-4.4","0.8","0.4"
"Twins","82","205","14","21","20","2","8.3 %","24.9 %",".266",".183",".196",".270",".462",".303","88","0.2","-3.2","-0.5","0.4"
"Rays","56","152","2","17","16","2","11.8 %","24.3 %",".130",".293",".221",".329",".351",".298","87","0.4","-2.1","0.0","0.3"
"Reds","104","265","7","30","30","3","10.6 %","22.6 %",".132",".301",".247",".333",".379",".305","82","-1.3","-7.8","1.9","0.3"
"Tigers","71","196","7","22","22","1","12.8 %","32.1 %",".178",".297",".219",".316",".396",".306","88","-0.5","-3.5","-1.4","0.2"
"Nationals","92","243","11","23","23","4","9.1 %","26.7 %",".166",".262",".221",".302",".387",".295","78","0.8","-6.5","-0.2","0.1"
"Giants","86","221","4","22","22","1","9.5 %","21.3 %",".131",".268",".221",".294",".352",".278","72","0.1","-8.0","1.9","0.1"
"Marlins","91","224","4","19","19","0","6.3 %","20.1 %",".094",".303",".252",".305",".347",".283","76","-1.1","-8.3","2.0","0.1"
"Mariners","89","232","4","26","24","2","12.9 %","27.6 %",".117",".277",".204",".319",".321",".286","80","0.2","-5.9","-3.8","-0.1"
"Padres","88","216","9","24","21","3","6.0 %","30.6 %",".167",".248",".202",".252",".369",".263","60","0.2","-11.4","2.1","-0.2"
"Blue Jays","75","187","5","19","17","1","7.0 %","24.1 %",".135",".270",".222",".276",".357",".271","67","-0.2","-8.3","-1.4","-0.3"
"Athletics","87","233","4","18","17","2","13.7 %","24.0 %",".101",".236",".186",".300",".286",".264","65","-1.2","-11.7","0.3","-0.3"
"Pirates","91","228","7","17","16","0","3.9 %","25.0 %",".144",".289",".236",".270",".380",".275","67","0.1","-10.0","-1.9","-0.4"
"Orioles","68","176","3","11","11","2","4.5 %","25.0 %",".104",".288",".226",".269",".329",".258","55","0.3","-10.0","-1.9","-0.5"
