"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","81","225","16","44","43","1","12.9 %","16.4 %",".297",".306",".308",".412",".605",".418","161","-0.1","17.9","1.8","2.6"
"Mariners","74","206","12","40","39","7","12.1 %","22.8 %",".276",".336",".299",".388",".575",".396","154","1.3","15.4","-3.5","1.9"
"Cubs","61","172","6","28","27","2","12.8 %","15.1 %",".197",".362",".327",".415",".524",".397","145","-0.3","10.1","0.1","1.5"
"Diamondbacks","68","211","9","32","31","4","6.6 %","20.9 %",".222",".313",".278",".322",".500",".337","107","0.7","2.5","2.8","1.2"
"Phillies","45","112","8","23","23","1","17.9 %","23.2 %",".326",".232",".236",".384",".562",".383","142","-0.1","5.8","1.2","1.0"
"Cardinals","78","205","10","25","23","3","9.8 %","31.2 %",".212",".295",".229",".320",".441",".322","101","0.2","0.3","2.3","0.9"
"Brewers","73","184","9","23","23","0","10.9 %","21.7 %",".216",".298",".265",".348",".481",".342","110","-0.6","1.4","1.8","0.9"
"Yankees","55","159","6","18","16","1","16.4 %","24.5 %",".169",".314",".254",".384",".423",".352","120","-0.3","3.8","-1.5","0.8"
"Braves","61","155","5","19","16","3","14.8 %","22.6 %",".176",".308",".252",".368",".427",".342","109","-0.6","1.2","1.0","0.7"
"Mets","62","161","3","25","22","2","7.5 %","29.2 %",".130",".406",".288",".350",".418",".331","108","-0.5","1.1","0.3","0.6"
"Athletics","72","172","9","19","19","1","7.0 %","18.6 %",".209",".237",".234",".291",".443",".305","92","0.0","-1.7","0.2","0.4"
"Rangers","57","147","8","24","23","2","13.6 %","23.1 %",".238",".247",".230",".333",".468",".338","101","-0.7","-0.4","-0.3","0.4"
"Nationals","46","113","3","14","14","5","4.4 %","31.9 %",".165",".338",".243",".301",".408",".301","85","1.0","-1.8","0.6","0.2"
"Pirates","49","130","2","13","13","2","16.9 %","19.2 %",".098",".250",".206",".359",".304",".303","86","0.3","-2.1","0.0","0.2"
"Red Sox","74","195","6","24","20","3","8.7 %","21.5 %",".153",".271",".233",".303",".386",".296","78","0.4","-5.2","-0.2","0.1"
"Twins","42","102","1","12","10","0","5.9 %","22.5 %",".154",".294",".231",".304",".385",".292","81","-0.1","-2.8","-0.3","0.1"
"Padres","73","168","3","14","14","3","7.1 %","21.4 %",".124",".284",".235",".292",".359",".275","70","0.2","-6.6","1.4","0.0"
"Royals","43","109","0","16","15","3","8.3 %","18.3 %",".104",".273",".219",".296",".323",".271","65","0.5","-4.4","0.5","0.0"
"White Sox","59","151","5","18","18","1","9.9 %","23.8 %",".150",".250",".211",".300",".361",".288","79","0.2","-4.1","-1.9","-0.1"
"Orioles","60","151","5","20","18","3","7.9 %","27.2 %",".140",".286",".228",".298",".368",".288","76","0.4","-4.5","-1.6","-0.1"
"Rays","72","167","5","18","18","4","4.2 %","32.9 %",".141",".299",".218",".259",".359",".263","66","0.9","-6.6","-0.3","-0.1"
"Astros","66","175","6","11","11","1","8.0 %","20.6 %",".156",".246",".219",".286",".375",".284","79","-2.4","-7.5","0.0","-0.1"
"Marlins","76","172","6","17","17","2","4.7 %","21.5 %",".138",".254",".225",".273",".363",".272","69","-1.1","-8.3","0.3","-0.2"
"Giants","75","173","2","9","9","1","4.6 %","27.2 %",".113",".261",".194",".254",".306",".245","51","-0.6","-11.9","3.3","-0.3"
"Reds","50","105","2","8","8","0","8.6 %","24.8 %",".126",".239",".189",".267",".316",".255","53","-0.9","-7.7","0.1","-0.4"
"Blue Jays","71","177","4","17","16","0","6.2 %","25.4 %",".130",".221",".180",".244",".311",".240","47","-0.1","-12.2","-0.3","-0.6"
"Angels","71","176","1","12","12","1","6.8 %","14.8 %",".069",".216",".188",".256",".256",".224","38","-0.3","-14.5","0.6","-0.7"
"Rockies","66","183","1","16","15","1","4.9 %","24.6 %",".100",".304",".229",".275",".329",".261","43","0.2","-13.9","0.3","-0.7"
"Indians","63","138","1","10","9","0","10.9 %","32.6 %",".066",".247",".164",".254",".230",".218","27","0.0","-13.0","0.1","-0.8"
"Tigers","66","188","1","7","6","0","11.2 %","31.4 %",".067",".212",".140",".250",".207",".213","25","-0.8","-18.9","-1.9","-1.4"
