"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Pirates","86","256","7","39","38","4","7.0 %","17.6 %",".179",".365",".314",".371",".493",".360","122","0.5","7.8","0.1","1.6"
"Mets","84","232","11","28","28","1","6.5 %","21.1 %",".190",".316",".280",".335",".469",".339","113","-0.4","3.5","1.1","1.2"
"Dodgers","79","228","11","32","30","2","7.5 %","23.2 %",".222",".310",".271",".323",".493",".335","109","-0.4","2.3","2.2","1.1"
"Twins","80","232","11","34","34","3","6.5 %","22.8 %",".240",".297",".260",".329",".500",".345","115","-0.5","3.8","-0.3","1.1"
"Angels","94","275","12","39","38","4","8.4 %","13.8 %",".197",".259",".258",".331",".455",".328","108","-0.3","2.3","-0.5","1.1"
"Astros","104","296","10","38","37","9","9.5 %","10.8 %",".181",".246",".250",".319",".431",".313","97","0.4","-0.8","1.4","1.1"
"Red Sox","86","237","7","35","33","3","9.7 %","22.4 %",".180",".340",".280",".350",".460",".340","108","-0.1","2.1","0.5","1.1"
"Marlins","87","244","8","45","45","1","6.6 %","24.2 %",".193",".342",".278",".332",".471",".336","110","-1.8","1.5","0.8","1.0"
"Padres","104","258","14","35","33","3","12.0 %","26.7 %",".215",".255",".224",".320",".439",".321","98","-0.1","-0.7","2.3","1.0"
"Braves","92","227","10","36","34","5","7.5 %","20.3 %",".234",".272",".249",".307",".483",".327","99","1.1","0.8","1.5","0.9"
"Brewers","90","239","12","28","28","4","7.5 %","25.1 %",".211",".274",".239",".303",".450",".317","92","0.7","-2.1","2.6","0.8"
"Rays","81","234","8","28","24","2","8.5 %","20.9 %",".159",".293",".251",".332",".411",".319","101","-0.5","-0.2","-0.2","0.8"
"Mariners","101","282","14","38","38","7","12.1 %","26.2 %",".195",".247",".215",".316",".411",".312","98","1.5","0.5","-2.9","0.7"
"Blue Jays","82","223","10","26","24","4","9.0 %","18.8 %",".191",".248",".236",".309",".427",".312","94","0.6","-1.3","-0.2","0.6"
"Giants","82","234","7","34","34","1","9.4 %","18.8 %",".175",".270",".243",".316",".417",".309","93","-0.1","-2.4","0.7","0.6"
"Athletics","89","242","8","27","25","2","8.3 %","24.8 %",".161",".296",".244",".307",".406",".303","90","-0.5","-3.7","0.5","0.5"
"Yankees","86","227","9","30","29","0","9.3 %","25.6 %",".172",".312",".256",".326",".429",".321","100","-1.4","-1.6","-1.8","0.5"
"Nationals","86","224","9","31","30","1","9.8 %","22.8 %",".202",".266",".232",".311",".434",".314","88","-0.5","-4.2","1.5","0.4"
"Indians","83","210","12","24","23","2","5.7 %","18.6 %",".229",".217",".224",".271",".453",".300","81","0.6","-4.5","1.2","0.4"
"Orioles","84","231","12","28","28","7","7.4 %","22.9 %",".197",".264",".240",".309",".438",".316","94","0.1","-1.6","-2.5","0.4"
"Rockies","80","222","5","36","35","1","6.8 %","18.5 %",".176",".325",".279",".326",".456",".327","85","0.4","-4.3","0.8","0.4"
"Tigers","85","227","8","27","26","6","5.3 %","26.9 %",".186",".329",".260",".300",".447",".309","91","0.6","-2.1","-2.5","0.3"
"Rangers","87","235","4","34","30","6","7.7 %","20.9 %",".110",".342",".281",".340",".390",".315","86","0.9","-3.3","-1.8","0.3"
"Cardinals","72","171","5","15","15","7","7.6 %","27.5 %",".123",".298",".234",".294",".357",".278","71","1.5","-5.1","1.5","0.2"
"Phillies","88","218","8","24","24","0","5.0 %","22.5 %",".192",".253",".222",".272",".414",".285","73","-0.5","-8.6","3.2","0.2"
"Royals","80","215","6","13","13","5","3.3 %","29.8 %",".159",".314",".237",".265",".396",".278","68","0.8","-8.0","0.9","0.1"
"Reds","72","187","3","17","17","3","7.0 %","20.3 %",".118",".290",".241",".296",".359",".277","71","0.1","-7.2","1.5","0.0"
"Cubs","97","250","7","30","30","1","8.8 %","25.2 %",".148",".276",".224",".296",".372",".285","73","-0.6","-9.6","1.7","0.0"
"White Sox","67","180","5","19","17","2","7.2 %","26.7 %",".124",".297",".236",".296",".360",".282","75","-0.5","-6.3","-0.7","-0.1"
"Diamondbacks","87","222","6","21","20","3","6.3 %","23.4 %",".153",".233",".197",".255",".350",".250","49","0.9","-14.5","2.5","-0.5"
