"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"White Sox","89","238","9","38","38","2","8.4 %","26.1 %",".189",".387",".302",".371",".491",".361","129","0.0","8.8","-1.7","1.5"
"Cubs","74","228","13","35","34","3","8.8 %","24.1 %",".278",".296",".268",".342",".545",".361","123","0.1","7.0","0.9","1.5"
"Rangers","73","234","13","42","41","5","11.1 %","22.2 %",".248",".310",".277",".359",".524",".367","122","0.8","7.4","-1.5","1.4"
"Phillies","70","183","7","29","26","1","10.4 %","20.8 %",".210",".321",".274",".374",".484",".363","125","0.3","6.0","2.1","1.4"
"Twins","94","243","15","34","33","3","8.2 %","21.8 %",".287",".225",".227",".298",".514",".332","107","0.4","2.5","-0.3","1.0"
"Yankees","71","193","5","27","26","2","8.8 %","19.7 %",".152",".344",".287",".358",".439",".342","113","0.0","2.9","0.8","1.0"
"Angels","88","224","7","32","30","5","9.8 %","12.9 %",".168",".278",".265",".342",".434",".328","107","0.0","2.0","0.1","1.0"
"Braves","105","261","10","30","29","1","8.0 %","17.6 %",".195",".280",".258",".322",".453",".326","99","0.0","-0.5","1.8","0.9"
"Brewers","106","263","8","39","37","6","9.5 %","24.7 %",".144",".325",".258",".335",".403",".316","94","0.6","-2.0","3.0","0.9"
"Rockies","105","278","14","50","48","3","8.6 %","21.2 %",".256",".274",".252",".321",".508",".344","98","0.7","-0.7","0.8","0.9"
"Dodgers","81","221","6","29","29","4","8.6 %","20.8 %",".142",".299",".254",".320",".396",".307","92","1.0","-1.3","2.7","0.8"
"Red Sox","83","228","7","28","28","5","11.8 %","21.5 %",".151",".291",".250",".344",".401",".317","92","0.9","-1.4","0.3","0.7"
"Cardinals","104","264","2","27","26","3","9.5 %","23.9 %",".078",".347",".260",".344",".338",".301","86","-0.4","-5.5","2.5","0.5"
"Tigers","58","160","7","18","18","1","11.3 %","33.8 %",".199",".358",".255",".338",".454",".333","108","-0.9","0.4","-0.8","0.5"
"Padres","102","269","11","35","31","2","5.9 %","29.0 %",".175",".294",".236",".285",".411",".293","80","-0.2","-7.7","2.9","0.4"
"Indians","73","190","9","19","18","5","6.8 %","24.7 %",".182",".265",".235",".289",".418",".297","78","0.8","-4.6","1.6","0.4"
"Diamondbacks","76","200","5","20","19","2","11.0 %","23.0 %",".170",".254",".210",".300",".381",".293","79","0.6","-5.5","2.2","0.3"
"Astros","94","265","7","26","25","2","7.9 %","24.2 %",".139",".284",".232",".297",".371",".285","79","-0.2","-7.4","0.0","0.2"
"Royals","92","248","3","30","29","5","8.5 %","22.2 %",".144",".287",".230",".298",".374",".287","75","0.0","-8.1","1.2","0.2"
"Marlins","72","183","2","18","18","0","6.0 %","19.7 %",".067",".328",".267",".322",".333",".288","80","-0.9","-5.9","1.9","0.2"
"Mets","102","255","4","22","21","1","9.4 %","27.1 %",".123",".310",".229",".307",".352",".284","77","-0.8","-8.5","1.1","0.1"
"Rays","79","217","5","22","21","3","9.2 %","21.2 %",".143",".255",".214",".290",".357",".278","74","0.3","-6.9","-0.2","0.1"
"Reds","105","264","8","26","26","4","8.3 %","23.1 %",".137",".275",".231",".303",".368",".285","70","-0.6","-11.2","2.0","-0.1"
"Giants","88","214","3","20","20","1","7.5 %","23.8 %",".102",".285",".224",".280",".327",".263","63","0.1","-10.5","2.0","-0.1"
"Pirates","77","198","5","22","21","1","5.6 %","25.3 %",".142",".313",".246",".292",".388",".290","76","0.1","-6.3","-1.7","-0.2"
"Blue Jays","89","229","7","24","22","1","6.6 %","25.8 %",".156",".281",".227",".278",".384",".281","73","-0.2","-8.3","-1.6","-0.2"
"Orioles","83","230","4","18","16","3","6.5 %","27.0 %",".110",".326",".244",".303",".354",".283","73","0.6","-7.7","-2.6","-0.2"
"Nationals","106","270","10","21","19","4","8.5 %","27.0 %",".128",".250",".206",".283",".333",".268","59","0.7","-14.0","0.2","-0.5"
"Athletics","85","227","2","15","14","1","11.5 %","25.6 %",".081",".223",".167",".269",".247",".235","45","-0.9","-17.1","0.2","-0.9"
"Mariners","79","185","3","12","10","2","11.9 %","31.4 %",".093",".220",".155",".265",".248",".236","47","0.2","-12.6","-2.9","-0.9"
