"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cardinals","95","246","13","32","30","2","10.2 %","22.0 %",".245",".342",".296",".377",".542",".382","138","-0.4","11.6","2.1","2.1"
"Braves","75","200","8","27","27","3","12.5 %","26.5 %",".205",".355",".275",".374",".480",".362","125","0.3","6.6","1.5","1.4"
"Angels","92","239","6","30","28","1","11.7 %","13.4 %",".148",".290",".271",".361",".419",".334","111","-0.5","2.9","1.6","1.3"
"Phillies","109","314","9","34","34","3","9.9 %","23.6 %",".169",".310",".252",".331",".421",".319","96","0.5","-1.6","3.3","1.2"
"Mets","89","250","6","27","25","2","9.2 %","20.4 %",".142",".344",".284",".358",".427",".335","109","-0.8","2.1","1.1","1.1"
"Diamondbacks","91","244","6","29","28","5","8.6 %","25.0 %",".157",".349",".269",".352",".426",".331","104","0.2","1.0","2.2","1.1"
"Brewers","107","259","13","30","30","1","9.7 %","28.6 %",".212",".303",".247",".324",".459",".329","101","-0.4","-0.1","2.8","1.1"
"Rangers","66","185","8","32","29","6","10.8 %","17.3 %",".236",".273",".255",".348",".491",".353","114","1.1","3.9","-0.8","0.9"
"Rays","95","230","8","30","30","5","10.4 %","24.3 %",".202",".314",".256",".339",".458",".334","112","-1.5","1.9","-0.5","0.9"
"Cubs","67","203","3","27","26","0","13.8 %","20.2 %",".144",".312",".251",".374",".395",".334","104","-0.6","0.4","2.1","0.9"
"Nationals","82","217","9","24","24","4","9.7 %","28.1 %",".198",".336",".260",".340",".458",".337","103","-0.1","0.7","1.2","0.9"
"Dodgers","99","251","9","29","29","3","10.8 %","21.9 %",".168",".280",".241",".325",".409",".311","93","0.4","-2.2","2.5","0.8"
"Twins","83","216","8","26","25","1","12.0 %","18.5 %",".185",".275",".249",".338",".434",".330","104","-0.6","0.6","-0.3","0.8"
"White Sox","98","269","11","32","31","10","9.7 %","23.4 %",".180",".283",".243",".323",".423",".319","100","0.8","0.8","-2.7","0.7"
"Royals","93","263","10","29","29","8","12.5 %","22.8 %",".173",".266",".231",".328",".404",".312","92","-0.7","-3.4","0.7","0.6"
"Astros","69","192","8","23","23","3","10.4 %","23.4 %",".186",".252",".222",".318",".407",".312","97","0.2","-0.8","0.1","0.6"
"Tigers","86","231","5","24","22","4","4.8 %","22.9 %",".158",".323",".263",".316",".421",".310","91","0.0","-2.7","-2.0","0.3"
"Giants","85","216","6","21","21","3","6.5 %","25.5 %",".159",".277",".226",".284",".385",".282","75","0.0","-7.2","2.6","0.2"
"Blue Jays","98","255","7","31","31","1","7.8 %","26.7 %",".146",".314",".245",".306",".391",".298","84","-0.9","-6.1","-1.3","0.2"
"Rockies","86","229","10","29","29","6","7.4 %","25.8 %",".236",".284",".240",".295",".476",".317","81","-0.7","-7.4","1.4","0.1"
"Orioles","89","239","4","26","25","3","10.0 %","21.3 %",".131",".308",".249",".324",".380",".303","84","-0.5","-5.2","-2.2","0.1"
"Yankees","83","205","7","26","24","2","7.8 %","21.5 %",".159",".239",".214",".281",".374",".279","71","0.4","-7.2","0.0","0.0"
"Padres","82","211","8","16","16","3","6.6 %","28.0 %",".168",".248",".204",".261",".372",".269","66","-0.6","-10.3","1.9","-0.2"
"Athletics","55","138","3","11","11","1","8.0 %","20.3 %",".122",".226",".195",".275",".317",".260","62","0.1","-6.7","0.1","-0.2"
"Mariners","98","259","12","25","25","2","10.8 %","29.3 %",".204",".225",".191",".282",".396",".289","82","-1.0","-7.1","-4.6","-0.2"
"Indians","72","179","3","19","16","3","7.8 %","21.8 %",".098",".273",".221",".287",".319",".263","56","0.3","-9.8","0.6","-0.3"
"Marlins","93","231","5","16","15","3","6.5 %","27.7 %",".099",".290",".221",".277",".319",".260","61","-0.5","-12.5","1.1","-0.4"
"Red Sox","83","206","7","19","18","1","6.8 %","22.8 %",".160",".230",".202",".267",".362",".269","60","-0.6","-11.2","-0.5","-0.4"
"Pirates","72","186","3","18","17","1","7.0 %","21.5 %",".112",".260",".213",".272",".325",".254","54","-0.2","-11.6","-0.4","-0.6"
"Reds","114","241","10","23","23","1","4.6 %","22.0 %",".186",".177",".173",".220",".358",".243","44","-1.5","-19.8","0.2","-1.1"
