"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Twins","96","277","18","48","47","1","8.7 %","16.2 %",".296",".287",".288",".354",".584",".386","142","-0.6","14.2","-0.7","2.3"
"Cardinals","91","243","8","43","41","2","9.9 %","17.7 %",".167",".380",".330",".394",".498",".376","135","-0.5","10.6","2.2","2.0"
"Astros","83","246","14","36","36","2","10.6 %","17.5 %",".259",".272",".269",".358",".528",".368","135","-0.1","10.7","0.0","1.9"
"Rays","108","266","12","35","35","3","9.4 %","27.1 %",".267",".318",".258",".335",".525",".354","125","-1.5","6.9","-0.3","1.6"
"Angels","113","286","10","33","32","3","8.7 %","17.8 %",".192",".301",".271",".343",".463",".337","112","-0.2","4.3","1.2","1.5"
"Diamondbacks","101","287","9","36","35","5","9.1 %","23.3 %",".166",".331",".269",".347",".435",".331","107","0.8","3.1","3.1","1.5"
"Rockies","92","244","11","34","34","8","8.6 %","25.4 %",".245",".377",".306",".368",".551",".379","120","0.0","6.1","0.9","1.4"
"White Sox","84","245","11","37","34","7","9.0 %","22.0 %",".189",".312",".270",".339",".459",".339","113","1.1","5.2","-2.2","1.1"
"Mariners","85","240","15","30","30","3","13.3 %","22.9 %",".267",".235",".228",".338",".495",".350","123","0.1","6.9","-4.0","1.1"
"Nationals","98","259","11","31","31","5","10.0 %","27.4 %",".212",".324",".257",".340",".469",".340","105","-0.4","1.1","1.7","1.1"
"Braves","93","243","8","32","32","0","9.1 %","25.9 %",".187",".333",".262",".340",".449",".334","105","-0.6","1.1","0.6","0.9"
"Phillies","98","280","9","32","32","0","8.2 %","20.4 %",".169",".292",".253",".321",".422",".315","91","0.2","-3.2","3.5","0.9"
"Blue Jays","81","233","8","34","34","4","6.9 %","23.6 %",".160",".351",".288",".338",".448",".333","107","0.1","2.1","-1.2","0.9"
"Yankees","98","279","12","40","37","4","9.0 %","21.5 %",".208",".266",".241",".314",".449",".318","96","0.6","-0.8","-0.9","0.8"
"Indians","75","197","4","25","22","4","9.6 %","25.4 %",".104",".361",".272",".357",".376",".321","95","0.7","-0.4","1.0","0.7"
"Brewers","106","248","16","30","30","3","7.3 %","34.7 %",".250",".270",".219",".282",".469",".311","90","-0.1","-3.6","2.6","0.7"
"Mets","86","227","9","21","21","3","7.5 %","20.3 %",".176",".267",".241",".317",".417",".312","94","-0.6","-2.6","1.2","0.6"
"Rangers","78","216","7","33","31","4","10.6 %","24.5 %",".209",".295",".241",".327",".449",".327","94","0.4","-1.2","-0.9","0.5"
"Giants","80","208","6","20","20","4","7.7 %","23.1 %",".153",".287",".237",".303",".389",".295","84","-0.2","-4.7","2.7","0.5"
"Orioles","102","271","9","26","25","6","5.2 %","21.0 %",".161",".307",".264",".306",".425",".306","88","1.0","-3.2","-2.2","0.4"
"Dodgers","87","217","8","23","23","2","12.0 %","23.5 %",".175",".252",".217",".310",".392",".297","85","-0.4","-4.9","2.1","0.4"
"Tigers","72","185","4","21","19","4","3.2 %","21.6 %",".175",".323",".269",".308",".444",".313","92","0.0","-1.8","-1.5","0.3"
"Cubs","68","181","2","17","16","0","10.5 %","21.0 %",".123",".284",".226",".331",".348",".299","83","-0.1","-4.6","1.6","0.3"
"Royals","94","265","11","24","24","7","10.2 %","29.4 %",".183",".264",".213",".294",".396",".291","78","-0.3","-7.8","1.0","0.2"
"Red Sox","73","189","7","19","19","4","9.0 %","27.0 %",".168",".270",".222",".298",".389",".290","75","0.2","-6.0","0.0","0.1"
"Padres","69","174","4","11","11","3","6.9 %","32.2 %",".124",".267",".193",".253",".317",".247","51","-0.8","-12.2","1.4","-0.5"
"Marlins","72","176","1","12","10","3","7.4 %","29.0 %",".063",".284",".200",".267",".263",".237","47","0.0","-12.6","1.2","-0.6"
"Pirates","86","208","5","21","20","1","8.2 %","24.5 %",".134",".252",".204",".273",".339",".261","57","-0.1","-12.0","-1.1","-0.6"
"Athletics","91","204","2","15","13","0","8.8 %","17.6 %",".079",".221",".191",".270",".270",".241","48","-0.2","-13.7","0.1","-0.6"
"Reds","90","210","8","17","17","2","5.2 %","24.3 %",".148",".173",".163",".210",".311",".221","29","-1.1","-20.9","0.6","-1.3"
