"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Orioles","115","317","15","48","48","4","7.3 %","18.9 %",".226",".281",".261",".330",".488",".342","112","0.2","5.2","-2.6","1.3"
"Dodgers","92","202","9","34","33","4","8.4 %","23.3 %",".215",".325",".277",".350",".492",".351","119","1.1","6.1","1.1","1.3"
"Astros","74","187","13","29","28","1","9.6 %","13.9 %",".287",".230",".256",".342",".543",".366","134","-0.2","7.7","-0.6","1.3"
"Cardinals","122","308","13","35","32","3","9.1 %","30.5 %",".207",".305",".236",".316",".443",".320","99","-0.5","-0.9","3.8","1.3"
"Blue Jays","126","298","14","43","43","1","8.1 %","26.2 %",".216",".299",".250",".329",".466",".334","108","-0.3","2.7","-0.9","1.2"
"White Sox","77","201","5","21","21","1","3.5 %","29.9 %",".170",".450",".325",".348",".495",".352","123","-0.1","5.8","-2.0","1.1"
"Nationals","101","274","8","37","36","2","12.8 %","19.0 %",".142",".307",".266",".360",".408",".330","100","-0.2","-0.3","2.1","1.0"
"Royals","101","250","3","37","36","6","9.2 %","27.6 %",".126",".397",".285",".364",".411",".332","104","0.9","2.1","-0.4","1.0"
"Marlins","102","239","7","29","28","8","6.3 %","19.7 %",".198",".305",".263",".321",".461",".325","103","0.3","1.0","1.3","1.0"
"Athletics","75","200","5","26","24","1","11.5 %","26.5 %",".160",".339",".257",".345",".417",".326","106","0.3","1.7","1.3","1.0"
"Brewers","107","223","8","34","29","3","12.6 %","29.1 %",".187",".310",".235",".341",".422",".328","102","0.0","0.2","2.3","0.9"
"Rockies","104","218","15","25","25","8","8.7 %","26.6 %",".254",".273",".249",".324",".503",".345","100","1.8","1.1","0.7","0.9"
"Mets","106","246","11","32","31","2","10.2 %","20.3 %",".205",".253",".233",".327",".437",".320","101","-0.1","0.1","0.8","0.9"
"Indians","93","229","8","39","39","5","9.2 %","21.8 %",".173",".317",".267",".338",".441",".326","99","0.3","-0.2","0.7","0.8"
"Twins","98","228","8","34","33","0","12.3 %","16.7 %",".207",".261",".242",".338",".449",".331","107","-0.5","1.3","-2.7","0.6"
"Rays","127","249","10","31","29","1","8.4 %","30.1 %",".179",".329",".251",".321",".430",".319","102","-2.2","-1.7","-1.0","0.6"
"Red Sox","124","291","9","39","35","2","8.6 %","24.1 %",".156",".303",".248",".316",".405",".307","85","-0.2","-5.7","0.7","0.5"
"Diamondbacks","106","272","6","32","32","2","9.6 %","25.7 %",".150",".301",".233",".309",".383",".293","76","0.9","-7.9","3.2","0.4"
"Angels","91","228","4","24","23","3","7.5 %","27.2 %",".115",".343",".255",".316",".370",".297","85","-0.1","-4.4","-0.2","0.3"
"Yankees","101","221","12","30","30","2","6.3 %","28.1 %",".230",".252",".221",".276",".451",".301","85","0.0","-4.1","-0.5","0.3"
"Rangers","74","184","10","23","22","2","6.5 %","23.4 %",".216",".282",".257",".310",".473",".325","93","-0.5","-2.1","-1.6","0.3"
"Braves","91","216","8","27","26","0","10.2 %","22.7 %",".173",".252",".220",".302",".393",".298","80","0.1","-5.8","1.2","0.2"
"Cubs","117","227","6","19","17","0","8.4 %","21.1 %",".156",".268",".229",".295",".385",".291","78","-0.1","-7.1","1.3","0.2"
"Reds","78","189","4","12","12","5","8.5 %","24.9 %",".101",".300",".237",".303",".337",".280","67","0.1","-8.4","1.2","-0.1"
"Phillies","126","284","9","28","28","3","5.3 %","24.6 %",".172",".238",".202",".249",".374",".261","57","0.9","-15.5","3.1","-0.3"
"Mariners","99","238","5","21","19","1","6.7 %","25.2 %",".118",".265",".209",".266",".327",".257","60","0.4","-12.1","0.4","-0.3"
"Tigers","90","211","4","13","13","1","3.3 %","24.2 %",".124",".304",".244",".267",".368",".267","62","-0.3","-10.6","-1.2","-0.4"
"Padres","101","219","5","14","13","0","9.1 %","33.3 %",".118",".265",".185",".271",".303",".254","56","-0.4","-13.4","1.2","-0.5"
"Giants","104","252","4","25","24","5","6.7 %","26.2 %",".091",".287",".221",".271",".312",".249","53","0.6","-15.3","1.1","-0.6"
"Pirates","96","219","2","20","16","1","4.6 %","21.0 %",".081",".255",".206",".242",".287",".229","38","0.2","-17.8","-0.1","-1.0"
