"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Braves","113","307","17","55","54","2","10.7 %","21.5 %",".289",".344",".301",".392",".590",".404","149","-1.2","18.4","2.1","3.0"
"Diamondbacks","95","280","20","45","45","2","10.4 %","19.6 %",".308",".263",".267",".343",".575",".373","130","0.5","11.4","2.9","2.3"
"Red Sox","105","286","15","40","38","3","9.4 %","24.5 %",".251",".339",".286",".358",".537",".371","128","-0.7","9.7","0.8","2.0"
"Twins","81","236","14","41","39","0","8.1 %","16.9 %",".259",".302",".292",".360",".552",".377","137","-0.7","10.5","-0.6","1.8"
"Rockies","106","289","11","53","51","3","8.3 %","18.0 %",".206",".366",".324",".390",".530",".384","122","0.1","8.3","0.4","1.8"
"Astros","73","204","11","39","39","6","12.3 %","22.5 %",".253",".294",".264",".363",".517",".367","135","0.2","9.0","-0.6","1.5"
"Padres","93","252","8","39","36","4","7.1 %","24.2 %",".184",".358",".286",".337",".470",".340","112","0.5","4.4","1.8","1.4"
"Yankees","84","246","9","37","36","2","11.8 %","22.4 %",".200",".340",".284",".366",".484",".356","123","-0.7","6.6","-1.3","1.4"
"Mariners","81","253","11","39","34","4","9.5 %","20.9 %",".216",".298",".266",".341",".482",".344","118","0.3","6.2","-2.2","1.3"
"Cardinals","100","267","7","33","30","12","8.6 %","21.7 %",".167",".301",".252",".322",".419",".315","96","2.1","0.3","2.9","1.2"
"Rays","100","267","10","32","31","4","6.7 %","22.1 %",".155",".322",".273",".330",".429",".322","103","0.5","1.5","-0.5","1.0"
"Dodgers","78","220","11","20","20","1","8.6 %","23.2 %",".198",".281",".249",".324",".447",".328","104","-0.1","1.0","1.9","1.0"
"Phillies","83","226","10","32","29","4","8.4 %","17.7 %",".210",".263",".250",".315",".460",".325","100","-0.3","-0.7","3.4","1.0"
"Athletics","81","232","7","34","32","3","8.6 %","19.4 %",".157",".292",".255",".336",".412",".320","102","0.1","0.7","0.4","0.9"
"Brewers","72","213","11","29","27","4","9.4 %","24.9 %",".214",".276",".246",".319",".460",".326","99","0.5","0.1","2.0","0.9"
"Giants","70","179","5","23","22","3","7.3 %","25.1 %",".155",".368",".292",".339",".447",".331","105","0.7","1.7","1.3","0.9"
"Nationals","81","226","12","32","32","4","5.8 %","16.8 %",".235",".266",".265",".316",".500",".337","104","-0.3","0.7","0.7","0.8"
"White Sox","88","220","9","32","29","0","7.7 %","18.6 %",".187",".301",".271",".327",".458",".330","107","0.0","2.1","-1.9","0.8"
"Mets","83","234","9","38","38","4","6.8 %","23.5 %",".180",".295",".251",".316",".431",".315","98","0.1","-0.6","0.3","0.7"
"Indians","74","207","7","27","24","6","9.7 %","19.8 %",".184",".275",".243",".316",".427",".313","89","1.6","-1.3","1.0","0.7"
"Pirates","103","280","7","40","40","4","7.9 %","18.6 %",".166",".330",".285",".338",".451",".325","99","-0.4","-0.7","-2.0","0.6"
"Angels","86","223","10","27","24","2","8.1 %","26.0 %",".218",".252",".218",".297",".437",".304","89","0.4","-2.7","-0.2","0.5"
"Rangers","102","292","3","41","38","9","10.6 %","28.8 %",".127",".351",".246",".337",".373",".306","80","1.2","-6.6","-0.5","0.3"
"Cubs","95","257","12","31","30","0","6.2 %","22.2 %",".185",".256",".233",".295",".418",".301","82","-0.9","-7.3","1.9","0.3"
"Blue Jays","83","230","6","28","27","3","8.3 %","27.0 %",".139",".310",".240",".304",".380",".294","81","0.4","-5.2","-1.1","0.2"
"Marlins","87","231","3","21","20","1","4.8 %","22.5 %",".085",".344",".269",".320",".354",".294","82","-0.9","-6.4","0.4","0.1"
"Orioles","89","222","3","17","16","1","8.1 %","23.9 %",".115",".338",".260",".326",".375",".304","85","-1.3","-5.4","-2.1","0.0"
"Royals","76","217","5","18","16","9","7.4 %","24.9 %",".131",".270",".216",".276",".347",".269","63","1.6","-8.9","0.9","0.0"
"Reds","77","186","7","16","16","0","10.2 %","26.9 %",".175",".248",".205",".286",".380",".284","71","-0.4","-7.5","0.7","-0.1"
"Tigers","87","216","4","16","15","0","7.4 %","28.2 %",".134",".263",".201",".264",".335",".257","55","-0.4","-12.9","-3.6","-0.9"
