"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Nationals","85","275","17","57","56","4","12.0 %","15.3 %",".326",".318",".313",".404",".639",".424","162","-0.2","21.9","2.7","3.3"
"Dodgers","89","244","18","39","39","3","14.3 %","21.7 %",".324",".287",".275",".385",".599",".402","153","0.8","17.5","1.6","2.6"
"Giants","95","256","14","43","42","1","7.4 %","21.1 %",".238",".352",".312",".369",".550",".381","139","-0.8","12.2","1.7","2.2"
"Angels","125","331","13","46","45","3","10.6 %","23.9 %",".205",".318",".264",".345",".469",".342","116","0.5","7.4","1.8","2.0"
"Brewers","92","265","13","33","33","5","10.6 %","21.9 %",".225",".335",".290",".370",".515",".368","126","0.5","9.5","2.8","2.0"
"Mets","92","250","6","39","39","1","7.6 %","17.2 %",".164",".398",".338",".397",".502",".378","140","-0.9","12.1","0.2","2.0"
"Mariners","98","271","13","43","41","7","10.3 %","19.9 %",".245",".297",".270",".354",".515",".361","130","0.6","11.1","-0.6","1.9"
"Indians","86","244","14","39","38","2","7.8 %","20.1 %",".262",".310",".285",".344",".548",".370","129","-0.6","8.2","2.0","1.8"
"Twins","99","290","11","53","49","1","6.2 %","18.3 %",".211",".343",".305",".355",".515",".363","126","-0.3","9.6","-1.8","1.8"
"Red Sox","78","187","7","30","28","1","9.1 %","20.9 %",".287",".347",".299",".362",".585",".385","138","-0.4","8.6","0.2","1.5"
"Cubs","86","230","12","33","32","2","11.7 %","23.0 %",".242",".284",".253",".352",".495",".355","119","0.0","5.5","2.1","1.5"
"Rockies","83","233","12","38","37","4","9.4 %","18.0 %",".225",".331",".309",".375",".534",".377","120","-0.2","5.7","1.6","1.4"
"Cardinals","99","260","8","35","33","6","10.8 %","26.2 %",".149",".316",".246",".336",".395",".317","97","1.1","-0.2","3.5","1.1"
"Yankees","78","225","11","24","22","1","5.3 %","25.3 %",".205",".329",".276",".320",".481",".335","109","0.3","2.8","0.3","1.1"
"Braves","84","213","13","30","30","2","9.4 %","21.6 %",".278",".234",".230",".314",".508",".342","107","-0.1","1.4","2.3","1.0"
"Athletics","87","221","13","31","30","1","6.8 %","24.4 %",".248",".272",".248",".305",".495",".332","109","-0.2","2.4","-0.2","1.0"
"Astros","94","277","12","28","27","1","10.1 %","18.4 %",".197",".250",".238",".318",".434",".317","100","-0.3","-0.3","-0.6","0.9"
"Diamondbacks","103","260","15","36","35","3","7.7 %","18.5 %",".248",".226",".231",".288",".479",".316","92","0.2","-2.6","2.5","0.8"
"Rangers","123","330","9","39","34","9","8.5 %","23.3 %",".147",".343",".274",".340",".421",".326","94","1.4","-1.3","-3.1","0.7"
"Orioles","81","220","8","24","24","2","10.9 %","17.7 %",".169",".259",".238",".338",".407",".323","99","-0.4","-0.6","-2.7","0.4"
"Marlins","89","229","3","24","23","0","7.9 %","24.9 %",".127",".338",".259",".323",".385",".305","90","-1.3","-4.4","0.7","0.4"
"Phillies","91","223","6","28","26","3","7.6 %","26.0 %",".169",".285",".224",".300",".393",".298","81","0.3","-5.4","1.8","0.3"
"Reds","98","253","7","25","24","4","7.1 %","25.7 %",".119",".312",".247",".311",".366",".292","75","0.3","-8.4","2.2","0.2"
"White Sox","96","256","9","35","33","0","3.9 %","23.4 %",".183",".291",".245",".283",".427",".298","86","0.0","-4.7","-2.6","0.2"
"Blue Jays","77","171","10","14","14","0","5.8 %","22.2 %",".242",".221",".217",".263",".460",".299","85","-0.7","-4.1","-0.7","0.1"
"Rays","94","228","5","20","19","4","10.1 %","20.6 %",".124",".237",".203",".285",".327",".260","62","0.6","-10.4","-0.9","-0.3"
"Padres","86","213","5","19","16","1","6.1 %","25.4 %",".122",".275",".218",".267",".340",".261","59","-1.1","-12.8","1.9","-0.4"
"Tigers","94","257","7","17","16","0","2.7 %","36.6 %",".146",".311",".215",".237",".362",".250","50","-0.9","-17.3","-1.3","-0.9"
"Royals","83","209","3","17","17","1","6.2 %","22.5 %",".078",".236",".193",".242",".271",".224","34","0.0","-18.1","-0.5","-1.1"
"Pirates","94","206","2","9","9","2","8.7 %","16.0 %",".059",".199",".173",".252",".232",".217","30","0.2","-18.9","-0.1","-1.2"
