"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Rays","78","216","14","41","39","0","12.5 %","25.5 %",".307",".408",".333",".417",".640",".435","179","0.2","22.1","-1.2","2.8"
"Astros","81","244","14","38","38","0","9.8 %","17.6 %",".288",".333",".312",".387",".600",".407","162","-1.0","18.1","-0.1","2.6"
"Blue Jays","100","291","17","49","47","2","9.6 %","21.0 %",".254",".324",".292",".366",".546",".380","140","-0.5","14.2","-1.1","2.3"
"Nationals","86","243","10","39","35","2","12.3 %","17.7 %",".224",".301",".273",".378",".498",".369","124","-0.2","7.2","1.5","1.6"
"Twins","87","241","15","46","46","1","8.7 %","22.8 %",".278",".284",".264",".332",".542",".359","123","-0.1","7.0","0.5","1.6"
"Giants","94","237","7","26","26","1","8.4 %","22.4 %",".183",".366",".296",".359",".479",".353","120","-0.6","5.7","2.2","1.5"
"Yankees","84","224","10","37","34","2","10.7 %","22.8 %",".218",".316",".269",".357",".487",".356","123","0.2","6.7","0.7","1.5"
"Rangers","73","200","9","29","28","2","6.0 %","19.5 %",".242",".360",".319",".367",".560",".380","132","-0.7","7.5","-1.5","1.3"
"Pirates","88","237","11","38","37","7","10.5 %","19.0 %",".201",".294",".268",".352",".469",".349","116","0.7","5.4","-0.5","1.2"
"Braves","95","268","12","34","31","7","8.2 %","23.5 %",".224",".293",".253",".317",".477",".329","100","1.0","1.1","2.6","1.2"
"Phillies","87","247","11","30","28","5","9.3 %","22.7 %",".194",".290",".252",".328",".446",".325","99","1.0","0.5","3.7","1.2"
"Athletics","76","194","6","24","21","4","13.9 %","22.7 %",".180",".307",".255",".366",".435",".342","117","-0.1","4.0","0.1","1.1"
"Diamondbacks","87","236","10","34","32","1","13.6 %","20.8 %",".195",".259",".235",".343",".430",".330","102","0.2","0.7","2.2","1.0"
"Padres","84","222","11","27","27","0","6.3 %","26.6 %",".203",".323",".267",".323",".470",".333","107","-1.1","0.7","1.7","0.9"
"Rockies","86","228","6","26","25","1","7.5 %","18.0 %",".190",".337",".290",".344",".481",".345","98","-1.3","-2.0","1.1","0.6"
"Indians","82","210","11","31","31","2","5.7 %","19.5 %",".229",".243",".240",".282",".469",".309","87","0.3","-3.3","1.2","0.5"
"Mets","89","244","6","32","30","3","9.4 %","20.1 %",".136",".300",".252",".335",".388",".312","95","-0.6","-2.5","-0.3","0.5"
"Reds","105","254","7","32","30","4","7.5 %","18.9 %",".132",".312",".269",".332",".401",".316","89","-1.0","-5.1","1.6","0.5"
"Red Sox","104","271","11","28","28","1","7.7 %","26.6 %",".181",".299",".246",".303",".427",".308","87","-0.2","-5.1","-0.1","0.4"
"Cardinals","72","185","4","15","13","4","3.8 %","27.0 %",".121",".355",".270",".304",".391",".296","83","1.2","-3.1","0.9","0.4"
"Dodgers","93","248","11","33","32","0","8.5 %","24.6 %",".206",".238",".211",".285",".417",".297","84","0.0","-5.6","1.2","0.4"
"Mariners","72","195","6","20","20","7","11.8 %","27.2 %",".153",".252",".200",".303",".353",".287","80","2.1","-2.9","-0.9","0.3"
"Marlins","92","227","8","32","30","3","6.2 %","25.1 %",".172",".289",".240",".298",".412",".296","83","-0.3","-5.6","1.4","0.3"
"Angels","80","218","7","19","19","1","9.2 %","21.1 %",".154",".266",".231",".307",".385",".298","86","-0.7","-4.6","0.0","0.3"
"Cubs","91","223","6","24","22","2","10.3 %","22.4 %",".145",".268",".223",".314",".368",".295","81","-0.3","-5.8","1.6","0.3"
"Tigers","88","237","7","27","25","3","8.4 %","22.8 %",".167",".279",".233",".304",".400",".301","85","0.1","-4.6","-2.4","0.1"
"Royals","83","227","6","27","23","1","7.0 %","19.8 %",".154",".287",".245",".305",".399",".301","83","-0.7","-5.6","-1.4","0.1"
"Orioles","86","226","5","23","23","4","8.4 %","23.0 %",".112",".277",".224",".296",".337",".277","68","0.6","-8.7","-2.4","-0.3"
"Brewers","92","220","3","16","14","3","5.9 %","25.5 %",".093",".279",".216",".264",".309",".248","48","0.1","-15.1","1.4","-0.6"
"White Sox","95","238","2","11","10","2","5.9 %","33.2 %",".064",".284",".191",".241",".255",".215","31","0.2","-21.2","-1.4","-1.4"
