"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","88","249","23","52","50","1","11.2 %","16.1 %",".410",".280",".307",".396",".717",".445","180","0.5","26.8","1.8","3.6"
"Astros","104","304","17","54","49","1","9.2 %","14.5 %",".257",".297",".294",".365",".551",".377","142","-0.4","15.7","-0.9","2.5"
"Red Sox","91","252","9","34","33","1","9.1 %","19.4 %",".249",".367",".317",".386",".566",".389","141","-1.9","11.2","0.4","2.0"
"Giants","90","232","12","37","36","2","8.2 %","19.4 %",".252",".307",".282",".352",".534",".366","131","-0.4","8.9","2.6","1.8"
"Indians","100","283","17","42","41","1","7.8 %","21.6 %",".249",".302",".276",".338",".525",".360","121","-0.8","6.8","2.1","1.8"
"Yankees","106","296","14","46","44","0","9.5 %","16.9 %",".223",".282",".269",".341",".492",".348","118","-0.2","6.5","0.3","1.7"
"Phillies","94","231","9","37","36","4","8.7 %","25.1 %",".209",".350",".284",".361",".493",".357","119","1.1","6.8","2.3","1.6"
"Reds","101","271","14","33","31","2","7.0 %","18.8 %",".242",".311",".286",".342",".528",".359","120","-0.9","5.8","2.0","1.6"
"Twins","85","240","12","36","33","0","9.2 %","17.9 %",".242",".287",".270",".351",".512",".361","126","-1.0","7.1","-0.7","1.4"
"Nationals","84","219","10","39","35","7","8.2 %","22.4 %",".215",".328",".282",".350",".497",".356","118","0.0","5.0","1.6","1.3"
"Blue Jays","82","220","12","37","36","1","9.5 %","23.6 %",".273",".306",".268",".341",".540",".365","130","-1.2","7.0","-1.4","1.3"
"Cardinals","84","227","8","36","33","7","9.3 %","22.0 %",".165",".319",".270",".345",".435",".333","107","0.9","3.0","2.4","1.2"
"Angels","99","280","6","43","38","2","10.0 %","24.3 %",".135",".343",".266",".351",".402",".326","105","0.1","2.0","0.8","1.2"
"Mets","92","239","5","26","26","1","6.7 %","19.7 %",".116",".373",".310",".366",".426",".339","113","-0.5","3.7","0.9","1.2"
"Diamondbacks","106","269","17","35","35","2","6.7 %","17.8 %",".241",".250",".253",".306",".494",".330","101","-0.7","-0.6","2.7","1.1"
"Braves","90","230","10","33","33","4","12.2 %","22.2 %",".174",".286",".249",".343",".423",".329","101","0.7","0.8","2.3","1.0"
"Pirates","84","235","10","37","31","4","6.0 %","18.3 %",".192",".309",".280",".340",".472",".342","112","-0.7","2.9","-1.1","0.9"
"Padres","89","227","7","31","28","1","10.1 %","27.8 %",".188",".333",".252",".332",".441",".327","103","-0.4","0.2","1.9","0.9"
"Rockies","82","240","10","32","32","4","8.8 %","20.4 %",".204",".314",".275",".347",".479",".347","100","0.5","0.1","1.4","0.9"
"Athletics","85","234","12","25","23","1","6.0 %","30.8 %",".214",".311",".247",".300",".460",".317","100","0.0","-0.1","0.6","0.9"
"Brewers","75","194","4","15","14","4","10.3 %","22.2 %",".125",".322",".256",".346",".381",".318","96","0.5","-0.6","2.3","0.8"
"Mariners","85","221","9","27","27","4","7.7 %","27.1 %",".194",".316",".254",".314",".448",".321","102","-0.3","0.4","-0.8","0.7"
"Orioles","97","265","9","32","32","2","8.3 %","25.7 %",".194",".305",".249",".313",".443",".317","95","0.7","-1.0","-3.0","0.5"
"Rays","88","226","8","25","23","3","8.0 %","17.7 %",".155",".266",".243",".310",".398",".304","91","-0.6","-3.1","-0.3","0.4"
"White Sox","96","249","7","36","32","2","4.8 %","21.3 %",".164",".324",".272",".309",".435",".312","95","0.3","-1.4","-2.9","0.4"
"Marlins","89","224","2","26","25","1","7.1 %","25.4 %",".095",".343",".256",".323",".352",".294","83","-0.6","-5.9","0.5","0.2"
"Rangers","97","264","9","23","21","5","9.8 %","24.6 %",".187",".278",".230",".311",".417",".309","82","0.6","-5.8","-1.8","0.2"
"Cubs","88","218","7","17","17","1","8.3 %","22.9 %",".169",".237",".205",".281",".374",".281","70","-0.2","-9.1","2.1","0.0"
"Royals","65","179","6","21","19","2","8.4 %","19.6 %",".198",".223",".204",".279",".401",".287","76","0.2","-5.4","-1.3","0.0"
"Tigers","79","210","4","15","13","1","2.4 %","31.0 %",".128",".356",".256",".276",".384",".277","68","-0.9","-9.5","-1.5","-0.3"
