"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Twins","97","294","23","54","54","0","11.2 %","17.0 %",".328",".286",".300",".379",".628",".408","157","-0.5","21.0","-1.4","2.9"
"Yankees","99","292","12","53","50","2","8.6 %","20.9 %",".235",".383",".326",".384",".561",".392","148","-0.1","17.7","0.3","2.8"
"Red Sox","102","283","17","62","61","1","6.4 %","20.8 %",".309",".349",".313",".364",".622",".403","150","-0.5","17.5","0.6","2.7"
"Cardinals","101","269","16","40","39","7","8.2 %","24.5 %",".278",".259",".241",".306",".519",".337","110","1.3","4.7","1.6","1.5"
"Nationals","103","269","7","31","29","8","10.0 %","18.2 %",".156",".320",".274",".356",".430",".336","105","1.4","3.1","1.2","1.3"
"Astros","89","227","12","32","32","2","7.9 %","22.9 %",".240",".284",".255",".323",".495",".341","116","0.0","4.6","-0.1","1.2"
"Orioles","108","299","16","42","42","8","6.4 %","27.8 %",".215",".333",".274",".326",".489",".340","110","1.1","4.8","-3.6","1.1"
"Reds","92","228","9","30","30","4","6.1 %","25.9 %",".197",".362",".288",".344",".486",".347","114","-0.4","3.6","0.8","1.1"
"Mets","91","232","13","30","30","1","8.2 %","22.0 %",".237",".278",".256",".329",".493",".341","115","-1.4","2.9","0.6","1.1"
"Angels","96","259","11","34","33","5","9.7 %","20.8 %",".227",".251",".231",".309",".459",".321","102","0.6","1.1","-0.1","1.0"
"Mariners","100","259","7","32","30","4","8.5 %","25.9 %",".153",".340",".262",".336",".415",".321","104","0.5","1.7","-0.7","1.0"
"Dodgers","74","190","8","29","29","1","13.2 %","19.5 %",".178",".267",".245",".342",".423",".328","105","0.4","1.7","1.8","0.9"
"Indians","93","296","6","30","29","6","9.8 %","17.6 %",".155",".296",".256",".332",".411",".313","88","0.6","-3.8","2.2","0.9"
"Brewers","97","235","7","34","34","2","13.2 %","25.5 %",".162",".300",".234",".352",".396",".323","96","0.0","-1.4","2.1","0.8"
"Diamondbacks","88","225","3","22","22","5","11.6 %","22.7 %",".132",".319",".249",".335",".381",".307","87","0.8","-3.3","2.3","0.6"
"Braves","73","194","4","23","23","8","9.8 %","24.7 %",".107",".333",".256",".347",".363",".313","90","1.3","-1.6","1.3","0.6"
"Rockies","98","274","8","36","35","4","9.5 %","24.1 %",".181",".324",".259",".332",".440",".327","85","-0.2","-5.8","-0.2","0.3"
"Padres","87","232","5","20","20","4","10.8 %","23.7 %",".125",".278",".225",".309",".350",".285","75","-0.7","-8.6","2.3","0.1"
"Pirates","110","277","3","28","27","0","7.2 %","20.6 %",".122",".314",".252",".321",".374",".298","84","-1.2","-7.3","-1.7","0.0"
"Rays","92","223","4","19","19","2","12.1 %","24.2 %",".122",".268",".209",".305",".332",".279","74","0.1","-7.3","-0.9","0.0"
"Giants","99","244","6","20","19","1","6.1 %","24.2 %",".143",".269",".219",".279",".362",".272","68","-0.1","-10.5","1.5","-0.1"
"Cubs","98","223","7","21","21","3","4.5 %","29.1 %",".152",".288",".223",".265",".374",".269","63","0.2","-11.0","1.6","-0.2"
"Phillies","74","211","5","12","12","1","5.7 %","25.1 %",".134",".257",".206",".267",".340",".260","57","0.6","-11.5","2.2","-0.2"
"Rangers","93","257","11","33","33","1","4.7 %","24.5 %",".174",".266",".232",".272",".407",".285","66","0.2","-11.0","-1.2","-0.3"
"Royals","82","240","6","19","18","0","8.3 %","20.4 %",".116",".235",".204",".279",".319",".263","60","-1.0","-14.0","-0.6","-0.6"
"Athletics","106","264","4","23","21","2","10.2 %","29.2 %",".091",".248",".183",".273",".274",".245","52","0.0","-16.4","0.1","-0.7"
"Blue Jays","87","207","6","16","16","0","6.8 %","23.7 %",".141",".213",".183",".246",".325",".247","50","-1.1","-14.5","-0.9","-0.8"
"Tigers","86","235","7","15","13","2","5.1 %","30.2 %",".151",".262",".201",".255",".352",".256","55","0.3","-13.4","-3.3","-0.8"
"White Sox","92","247","7","19","19","5","4.9 %","29.1 %",".126",".250",".196",".241",".322",".241","48","1.2","-15.5","-1.8","-0.8"
"Marlins","80","202","5","17","16","0","3.0 %","28.7 %",".128",".225",".181",".214",".309",".221","35","-0.9","-18.3","0.7","-1.1"
