"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","97","254","15","58","52","3","9.4 %","16.9 %",".308",".333",".317",".390",".625",".415","166","-0.3","21.2","-0.4","2.9"
"Mets","100","236","12","33","32","3","10.2 %","18.2 %",".215",".336",".307",".385",".522",".378","142","-0.4","12.4","0.7","2.0"
"Brewers","109","239","10","35","34","7","13.0 %","23.0 %",".210",".314",".265",".371",".475",".357","119","1.3","6.9","3.0","1.7"
"Yankees","85","233","14","35","35","2","9.4 %","23.6 %",".269",".286",".260",".335",".529",".358","125","0.6","7.9","-0.3","1.5"
"Cardinals","94","236","7","35","34","4","9.7 %","15.7 %",".188",".293",".266",".343",".454",".338","110","1.0","4.1","4.0","1.5"
"Marlins","108","285","6","34","30","4","10.9 %","21.4 %",".133",".337",".270",".360",".403",".331","106","-0.4","1.8","2.2","1.3"
"Braves","92","217","11","31","30","5","14.3 %","28.1 %",".246",".277",".230",".346",".475",".345","112","0.9","4.1","2.0","1.3"
"White Sox","87","235","10","35","35","2","8.1 %","25.5 %",".225",".331",".273",".340",".498",".348","121","0.3","6.3","-1.7","1.3"
"Nationals","97","233","9","33","32","2","8.2 %","22.3 %",".199",".340",".284",".349",".483",".352","114","-0.2","4.0","1.4","1.3"
"Cubs","99","232","11","34","32","2","9.5 %","24.1 %",".225",".302",".260",".338",".485",".342","111","0.1","3.1","1.4","1.2"
"Athletics","108","258","8","38","38","2","10.9 %","20.9 %",".188",".253",".220",".322",".408",".312","97","0.3","-0.8","1.6","1.0"
"Rays","108","209","6","28","26","6","7.2 %","17.7 %",".201",".290",".261",".330",".462",".330","111","0.4","3.0","-0.6","1.0"
"Phillies","126","273","12","35","34","9","6.2 %","25.6 %",".217",".294",".249",".296",".466",".314","90","1.9","-2.1","2.6","0.9"
"Royals","93","224","5","25","22","6","8.9 %","23.7 %",".124",".354",".277",".345",".401",".321","97","-0.3","-1.2","0.6","0.7"
"Pirates","125","267","6","33","30","1","9.4 %","21.0 %",".158",".295",".244",".331",".402",".310","92","0.1","-2.8","-0.8","0.5"
"Angels","113","260","12","27","26","4","10.0 %","24.6 %",".189",".248",".219",".297",".408",".299","87","0.1","-4.1","-0.2","0.5"
"Rangers","88","234","8","31","29","2","6.8 %","24.4 %",".156",".347",".280",".346",".436",".335","99","-1.1","-1.3","-2.4","0.4"
"Indians","103","269","8","34","32","4","9.7 %","28.6 %",".155",".321",".243",".317",".397",".304","83","-0.4","-6.2","0.8","0.4"
"Reds","104","226","9","23","23","1","9.7 %","27.9 %",".180",".287",".230",".314",".410",".310","88","-0.5","-4.5","1.1","0.4"
"Dodgers","86","168","10","21","21","0","8.3 %","20.2 %",".213",".179",".193",".267",".407",".285","77","0.2","-5.0","0.7","0.1"
"Diamondbacks","92","218","5","19","19","5","11.0 %","27.1 %",".131",".260",".199",".295",".330",".272","64","0.9","-9.7","3.1","0.0"
"Tigers","93","228","5","23","23","1","4.4 %","27.2 %",".122",".340",".258",".300",".380",".291","78","-0.8","-7.4","-1.3","-0.1"
"Twins","102","231","6","19","18","0","13.0 %","26.4 %",".142",".254",".198",".316",".340",".291","79","-0.3","-6.7","-2.2","-0.1"
"Orioles","107","218","7","19","18","1","6.4 %","19.7 %",".144",".275",".244",".290",".388",".288","75","0.2","-6.7","-2.6","-0.2"
"Red Sox","117","244","9","24","24","0","8.6 %","24.2 %",".167",".242",".208",".280",".376",".279","67","-0.6","-11.4","0.4","-0.2"
"Mariners","85","192","6","16","16","9","7.8 %","34.4 %",".137",".252",".183",".255",".320",".250","55","2.1","-8.9","-0.3","-0.2"
"Giants","112","260","4","19","18","5","9.6 %","25.8 %",".082",".272",".206",".286",".288",".253","57","0.8","-14.1","1.9","-0.4"
"Blue Jays","76","175","4","12","12","2","7.4 %","31.4 %",".152",".240",".177",".251",".329",".251","52","0.1","-10.7","-0.7","-0.5"
"Padres","95","218","3","11","10","4","10.1 %","26.1 %",".063",".256",".193",".284",".255",".247","52","-0.2","-14.5","1.9","-0.5"
"Rockies","84","177","2","10","9","2","9.0 %","27.7 %",".075",".248",".182",".256",".258",".227","24","0.5","-18.2","0.4","-1.2"
