"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cardinals","103","280","10","55","52","4","15.4 %","15.4 %",".197",".341",".310",".421",".507",".394","146","0.7","17.8","4.5","3.0"
"Athletics","91","235","12","45","44","0","9.8 %","18.7 %",".260",".342",".308",".385",".567",".396","154","-0.4","15.7","0.3","2.4"
"Nationals","82","265","6","42","38","9","11.7 %","15.5 %",".149",".344",".303",".390",".452",".361","121","0.0","7.4","2.0","1.7"
"Astros","82","223","10","34","33","0","11.7 %","17.0 %",".245",".306",".281",".376",".526",".376","139","-1.2","10.1","-0.3","1.7"
"Yankees","93","265","17","30","30","2","4.5 %","26.8 %",".255",".311",".271",".306",".526",".341","114","0.4","4.8","1.4","1.5"
"Brewers","92","235","6","23","23","3","12.8 %","22.1 %",".170",".333",".270",".370",".440",".346","113","0.0","3.7","2.4","1.3"
"Phillies","90","249","7","36","35","1","14.5 %","23.7 %",".190",".303",".242",".355",".431",".336","106","-0.6","1.0","2.7","1.1"
"Dodgers","102","258","11","29","29","3","11.6 %","29.5 %",".228",".277",".219",".319",".446",".320","100","0.4","0.1","2.0","1.0"
"Mariners","90","229","9","32","29","5","11.4 %","22.3 %",".231",".257",".226",".320",".457",".327","108","1.8","3.9","-2.0","1.0"
"Twins","70","183","12","35","35","1","6.6 %","27.9 %",".292",".286",".250",".311",".542",".350","117","0.1","4.0","-1.1","0.9"
"Orioles","84","219","11","30","28","1","8.2 %","16.9 %",".216",".279",".268",".344",".485",".346","115","-0.7","3.4","-2.5","0.8"
"Rays","83","224","6","27","25","4","7.6 %","18.3 %",".162",".302",".265",".321",".426",".314","98","1.0","0.3","-0.6","0.7"
"Reds","89","221","9","23","23","7","5.9 %","26.7 %",".179",".313",".254",".311",".433",".315","90","1.0","-2.3","2.0","0.7"
"Marlins","102","257","8","31","30","3","6.6 %","24.9 %",".157",".313",".251",".313",".409",".308","93","-0.6","-3.3","-0.2","0.5"
"Angels","89","236","7","22","21","1","10.6 %","21.2 %",".154",".263",".226",".314",".380",".299","87","-0.2","-4.3","0.5","0.4"
"Pirates","106","263","5","37","35","7","7.2 %","16.3 %",".128",".307",".268",".328",".396",".308","89","-0.2","-4.2","0.0","0.4"
"Cubs","96","221","9","28","27","2","10.9 %","22.2 %",".171",".243",".218",".309",".389",".299","81","0.5","-5.1","2.0","0.4"
"Giants","97","232","9","33","32","1","5.6 %","24.6 %",".182",".291",".248",".293",".430",".303","89","-1.2","-4.7","1.2","0.4"
"Tigers","77","225","7","26","25","3","5.3 %","28.4 %",".156",".340",".261",".302",".417",".304","87","0.2","-3.6","-1.0","0.3"
"Red Sox","80","190","6","21","21","1","7.9 %","20.5 %",".171",".283",".247",".309",".418",".308","86","-0.9","-4.6","1.1","0.3"
"Braves","104","273","10","27","26","8","10.6 %","29.3 %",".197",".241",".192",".291",".389",".290","73","1.4","-8.7","2.8","0.3"
"White Sox","78","216","5","24","23","1","4.2 %","25.0 %",".146",".326",".258",".300",".404",".299","86","0.6","-3.2","-1.9","0.3"
"Indians","86","215","8","21","21","2","8.4 %","21.4 %",".174",".234",".210",".277",".385",".278","66","-0.1","-9.6","2.0","0.0"
"Blue Jays","89","220","7","18","18","1","9.1 %","26.4 %",".166",".254",".206",".282",".372",".281","73","-0.8","-8.5","-0.8","-0.2"
"Mets","92","231","4","22","22","3","6.5 %","20.8 %",".113",".269",".222",".283",".335",".265","65","-0.3","-11.1","0.6","-0.3"
"Diamondbacks","91","217","6","22","19","2","8.8 %","21.2 %",".133",".228",".199",".269",".332",".258","54","0.2","-13.1","2.4","-0.4"
"Royals","84","223","5","18","16","1","7.6 %","25.1 %",".113",".278",".221",".283",".333",".268","61","0.0","-11.1","-0.7","-0.4"
"Rockies","98","255","5","29","26","2","7.5 %","22.4 %",".114",".298",".245",".303",".358",".285","59","0.0","-14.0","1.5","-0.4"
"Padres","88","198","4","15","13","1","9.1 %","26.3 %",".102",".225",".176",".256",".278",".238","43","-0.2","-15.3","2.1","-0.7"
"Rangers","93","250","7","20","19","7","5.2 %","30.4 %",".120",".245",".188",".240",".308",".235","33","0.5","-21.0","-2.5","-1.4"
